Time,BEDROOM:CAMBRIDGE.AP ANN HTG 99.6P CONDNS DB:Des Heat Load [W],BEDROOM::Des Sens Cool Load [W],BEDROOM:CAMBRIDGE.AP ANN HTG 99.6P CONDNS DB:Des Heat Mass Flow [kg/s],BEDROOM::Des Cool Mass Flow [kg/s],LIVING:CAMBRIDGE.AP ANN HTG 99.6P CONDNS DB:Des Heat Load [W],LIVING::Des Sens Cool Load [W],LIVING:CAMBRIDGE.AP ANN HTG 99.6P CONDNS DB:Des Heat Mass Flow [kg/s],LIVING::Des Cool Mass Flow [kg/s]
00:10:00,4.238735E+03,0.000000E+00,1.437878E-01,0.000000E+00,5.645431E+03,0.000000E+00,1.941693E-01,0.000000E+00
00:20:00,4.237969E+03,0.000000E+00,1.437602E-01,0.000000E+00,5.656889E+03,0.000000E+00,1.945695E-01,0.000000E+00
00:30:00,4.237316E+03,0.000000E+00,1.437366E-01,0.000000E+00,5.668488E+03,0.000000E+00,1.949750E-01,0.000000E+00
00:40:00,4.236756E+03,0.000000E+00,1.437164E-01,0.000000E+00,5.680204E+03,0.000000E+00,1.953849E-01,0.000000E+00
00:50:00,4.236293E+03,0.000000E+00,1.436997E-01,0.000000E+00,5.681320E+03,0.000000E+00,1.954307E-01,0.000000E+00
01:00:00,4.235879E+03,0.000000E+00,1.436848E-01,0.000000E+00,5.682240E+03,0.000000E+00,1.954658E-01,0.000000E+00
01:10:00,4.235511E+03,0.000000E+00,1.436716E-01,0.000000E+00,5.682982E+03,0.000000E+00,1.954942E-01,0.000000E+00
01:20:00,4.235180E+03,0.000000E+00,1.436597E-01,0.000000E+00,5.683600E+03,0.000000E+00,1.955177E-01,0.000000E+00
01:30:00,4.234880E+03,0.000000E+00,1.436489E-01,0.000000E+00,5.684121E+03,0.000000E+00,1.955376E-01,0.000000E+00
01:40:00,4.234606E+03,0.000000E+00,1.436391E-01,0.000000E+00,5.684568E+03,0.000000E+00,1.955546E-01,0.000000E+00
01:50:00,4.234353E+03,0.000000E+00,1.436300E-01,0.000000E+00,5.684953E+03,0.000000E+00,1.955693E-01,0.000000E+00
02:00:00,4.234118E+03,0.000000E+00,1.436216E-01,0.000000E+00,5.685289E+03,0.000000E+00,1.955820E-01,0.000000E+00
02:10:00,4.243671E+03,0.000000E+00,1.439452E-01,0.000000E+00,5.685591E+03,0.000000E+00,1.955935E-01,0.000000E+00
02:20:00,4.253515E+03,0.000000E+00,1.442806E-01,0.000000E+00,5.685859E+03,0.000000E+00,1.956036E-01,0.000000E+00
02:30:00,4.263636E+03,0.000000E+00,1.446258E-01,0.000000E+00,5.686102E+03,0.000000E+00,1.956129E-01,0.000000E+00
02:40:00,4.273967E+03,0.000000E+00,1.449787E-01,0.000000E+00,5.686327E+03,0.000000E+00,1.956214E-01,0.000000E+00
02:50:00,4.284473E+03,0.000000E+00,1.453380E-01,0.000000E+00,5.686538E+03,0.000000E+00,1.956293E-01,0.000000E+00
03:00:00,4.295124E+03,0.000000E+00,1.457024E-01,0.000000E+00,5.686738E+03,0.000000E+00,1.956369E-01,0.000000E+00
03:10:00,4.286362E+03,0.000000E+00,1.454086E-01,0.000000E+00,5.686926E+03,0.000000E+00,1.956440E-01,0.000000E+00
03:20:00,4.277137E+03,0.000000E+00,1.450957E-01,0.000000E+00,5.687102E+03,0.000000E+00,1.956506E-01,0.000000E+00
03:30:00,4.267470E+03,0.000000E+00,1.447670E-01,0.000000E+00,5.687260E+03,0.000000E+00,1.956566E-01,0.000000E+00
03:40:00,4.257474E+03,0.000000E+00,1.444263E-01,0.000000E+00,5.687402E+03,0.000000E+00,1.956620E-01,0.000000E+00
03:50:00,4.247209E+03,0.000000E+00,1.440758E-01,0.000000E+00,5.687527E+03,0.000000E+00,1.956667E-01,0.000000E+00
04:00:00,4.236727E+03,0.000000E+00,1.437175E-01,0.000000E+00,5.687637E+03,0.000000E+00,1.956709E-01,0.000000E+00
04:10:00,4.235827E+03,0.000000E+00,1.436839E-01,0.000000E+00,5.687728E+03,0.000000E+00,1.956744E-01,0.000000E+00
04:20:00,4.235063E+03,0.000000E+00,1.436564E-01,0.000000E+00,5.687812E+03,0.000000E+00,1.956776E-01,0.000000E+00
04:30:00,4.234442E+03,0.000000E+00,1.436339E-01,0.000000E+00,5.687891E+03,0.000000E+00,1.956805E-01,0.000000E+00
04:40:00,4.233917E+03,0.000000E+00,1.436150E-01,0.000000E+00,5.687967E+03,0.000000E+00,1.956834E-01,0.000000E+00
04:50:00,4.233472E+03,0.000000E+00,1.435989E-01,0.000000E+00,5.688039E+03,0.000000E+00,1.956861E-01,0.000000E+00
05:00:00,4.233082E+03,0.000000E+00,1.435849E-01,0.000000E+00,5.677419E+03,0.000000E+00,1.953210E-01,0.000000E+00
05:10:00,4.232744E+03,0.000000E+00,1.435727E-01,0.000000E+00,5.666511E+03,0.000000E+00,1.949417E-01,0.000000E+00
05:20:00,4.232442E+03,0.000000E+00,1.435618E-01,0.000000E+00,5.655349E+03,0.000000E+00,1.945529E-01,0.000000E+00
05:30:00,4.232165E+03,0.000000E+00,1.435518E-01,0.000000E+00,5.654656E+03,0.000000E+00,1.945234E-01,0.000000E+00
05:40:00,4.231917E+03,0.000000E+00,1.435429E-01,0.000000E+00,5.654113E+03,0.000000E+00,1.945026E-01,0.000000E+00
05:50:00,4.231692E+03,0.000000E+00,1.435348E-01,0.000000E+00,5.653699E+03,0.000000E+00,1.944867E-01,0.000000E+00
06:00:00,4.231495E+03,0.000000E+00,1.435277E-01,0.000000E+00,5.664059E+03,0.000000E+00,1.948418E-01,0.000000E+00
06:10:00,4.231313E+03,0.000000E+00,1.435212E-01,0.000000E+00,5.674767E+03,0.000000E+00,1.952134E-01,0.000000E+00
06:20:00,4.231149E+03,0.000000E+00,1.435153E-01,0.000000E+00,5.685776E+03,0.000000E+00,1.955963E-01,0.000000E+00
06:30:00,4.231007E+03,0.000000E+00,1.435102E-01,0.000000E+00,5.686351E+03,0.000000E+00,1.956213E-01,0.000000E+00
06:40:00,4.230874E+03,0.000000E+00,1.435054E-01,0.000000E+00,5.686806E+03,0.000000E+00,1.956387E-01,0.000000E+00
06:50:00,4.230748E+03,0.000000E+00,1.435009E-01,0.000000E+00,5.687155E+03,0.000000E+00,1.956521E-01,0.000000E+00
07:00:00,4.230629E+03,0.000000E+00,1.434966E-01,0.000000E+00,5.687440E+03,0.000000E+00,1.956630E-01,0.000000E+00
07:10:00,4.228872E+03,0.000000E+00,1.434368E-01,0.000000E+00,5.687677E+03,0.000000E+00,1.956721E-01,0.000000E+00
07:20:00,4.227061E+03,0.000000E+00,1.433749E-01,0.000000E+00,5.687879E+03,0.000000E+00,1.956798E-01,0.000000E+00
07:30:00,4.235807E+03,0.000000E+00,1.436710E-01,0.000000E+00,5.688057E+03,0.000000E+00,1.956865E-01,0.000000E+00
07:40:00,4.244827E+03,0.000000E+00,1.439782E-01,0.000000E+00,5.688213E+03,0.000000E+00,1.956924E-01,0.000000E+00
