Time,BEDROOM:CAMBRIDGE.AP ANN HTG 99.6P CONDNS DB:Des Heat Load [W],BEDROOM::Des Sens Cool Load [W],BEDROOM:CAMBRIDGE.AP ANN HTG 99.6P CONDNS DB:Des Heat Mass Flow [kg/s],BEDROOM::Des Cool Mass Flow [kg/s],LIVING:CAMBRIDGE.AP ANN HTG 99.6P CONDNS DB:Des Heat Load [W],LIVING::Des Sens Cool Load [W],LIVING:CAMBRIDGE.AP ANN HTG 99.6P CONDNS DB:Des Heat Mass Flow [kg/s],LIVING::Des Cool Mass Flow [kg/s]
00:10:00,4.750576E+03,0.000000E+00,1.611995E-01,0.000000E+00,6.488490E+03,0.000000E+00,2.231101E-01,0.000000E+00
00:20:00,4.729655E+03,0.000000E+00,1.604838E-01,0.000000E+00,6.511173E+03,0.000000E+00,2.239025E-01,0.000000E+00
00:30:00,4.708420E+03,0.000000E+00,1.597564E-01,0.000000E+00,6.534141E+03,0.000000E+00,2.247063E-01,0.000000E+00
00:40:00,4.686900E+03,0.000000E+00,1.590189E-01,0.000000E+00,6.557372E+03,0.000000E+00,2.255201E-01,0.000000E+00
00:50:00,4.674921E+03,0.000000E+00,1.586045E-01,0.000000E+00,6.570111E+03,0.000000E+00,2.259741E-01,0.000000E+00
01:00:00,4.672843E+03,0.000000E+00,1.585276E-01,0.000000E+00,6.571973E+03,0.000000E+00,2.260501E-01,0.000000E+00
01:10:00,4.671193E+03,0.000000E+00,1.584676E-01,0.000000E+00,6.573389E+03,0.000000E+00,2.261052E-01,0.000000E+00
01:20:00,4.669872E+03,0.000000E+00,1.584195E-01,0.000000E+00,6.574504E+03,0.000000E+00,2.261486E-01,0.000000E+00
01:30:00,4.668743E+03,0.000000E+00,1.583786E-01,0.000000E+00,6.575463E+03,0.000000E+00,2.261855E-01,0.000000E+00
01:40:00,4.667791E+03,0.000000E+00,1.583440E-01,0.000000E+00,6.576274E+03,0.000000E+00,2.262168E-01,0.000000E+00
01:50:00,4.666980E+03,0.000000E+00,1.583146E-01,0.000000E+00,6.576966E+03,0.000000E+00,2.262435E-01,0.000000E+00
02:00:00,4.666285E+03,0.000000E+00,1.582895E-01,0.000000E+00,6.577560E+03,0.000000E+00,2.262664E-01,0.000000E+00
02:10:00,4.665684E+03,0.000000E+00,1.582677E-01,0.000000E+00,6.578073E+03,0.000000E+00,2.262862E-01,0.000000E+00
02:20:00,4.665160E+03,0.000000E+00,1.582487E-01,0.000000E+00,6.578520E+03,0.000000E+00,2.263034E-01,0.000000E+00
02:30:00,4.664699E+03,0.000000E+00,1.582320E-01,0.000000E+00,6.578912E+03,0.000000E+00,2.263185E-01,0.000000E+00
02:40:00,4.664290E+03,0.000000E+00,1.582172E-01,0.000000E+00,6.579259E+03,0.000000E+00,2.263318E-01,0.000000E+00
02:50:00,4.663923E+03,0.000000E+00,1.582040E-01,0.000000E+00,6.579567E+03,0.000000E+00,2.263437E-01,0.000000E+00
03:00:00,4.663592E+03,0.000000E+00,1.581920E-01,0.000000E+00,6.579844E+03,0.000000E+00,2.263543E-01,0.000000E+00
03:10:00,4.663291E+03,0.000000E+00,1.581811E-01,0.000000E+00,6.580094E+03,0.000000E+00,2.263639E-01,0.000000E+00
03:20:00,4.663014E+03,0.000000E+00,1.581711E-01,0.000000E+00,6.580321E+03,0.000000E+00,2.263726E-01,0.000000E+00
03:30:00,4.662758E+03,0.000000E+00,1.581619E-01,0.000000E+00,6.580529E+03,0.000000E+00,2.263806E-01,0.000000E+00
03:40:00,4.662519E+03,0.000000E+00,1.581533E-01,0.000000E+00,6.580721E+03,0.000000E+00,2.263879E-01,0.000000E+00
03:50:00,4.662295E+03,0.000000E+00,1.581452E-01,0.000000E+00,6.580898E+03,0.000000E+00,2.263947E-01,0.000000E+00
04:00:00,4.662084E+03,0.000000E+00,1.581376E-01,0.000000E+00,6.581063E+03,0.000000E+00,2.264010E-01,0.000000E+00
04:10:00,4.661884E+03,0.000000E+00,1.581304E-01,0.000000E+00,6.581218E+03,0.000000E+00,2.264069E-01,0.000000E+00
04:20:00,4.661694E+03,0.000000E+00,1.581235E-01,0.000000E+00,6.581363E+03,0.000000E+00,2.264125E-01,0.000000E+00
04:30:00,4.661512E+03,0.000000E+00,1.581170E-01,0.000000E+00,6.581500E+03,0.000000E+00,2.264177E-01,0.000000E+00
04:40:00,4.661338E+03,0.000000E+00,1.581107E-01,0.000000E+00,6.581630E+03,0.000000E+00,2.264227E-01,0.000000E+00
04:50:00,4.661170E+03,0.000000E+00,1.581047E-01,0.000000E+00,6.581754E+03,0.000000E+00,2.264274E-01,0.000000E+00
05:00:00,4.661008E+03,0.000000E+00,1.580988E-01,0.000000E+00,6.581872E+03,0.000000E+00,2.264319E-01,0.000000E+00
05:10:00,4.660852E+03,0.000000E+00,1.580932E-01,0.000000E+00,6.581985E+03,0.000000E+00,2.264362E-01,0.000000E+00
05:20:00,4.660700E+03,0.000000E+00,1.580878E-01,0.000000E+00,6.582093E+03,0.000000E+00,2.264404E-01,0.000000E+00
05:30:00,4.660553E+03,0.000000E+00,1.580825E-01,0.000000E+00,6.582197E+03,0.000000E+00,2.264443E-01,0.000000E+00
05:40:00,4.660411E+03,0.000000E+00,1.580773E-01,0.000000E+00,6.582297E+03,0.000000E+00,2.264482E-01,0.000000E+00
05:50:00,4.660272E+03,0.000000E+00,1.580723E-01,0.000000E+00,6.582394E+03,0.000000E+00,2.264518E-01,0.000000E+00
06:00:00,4.660136E+03,0.000000E+00,1.580675E-01,0.000000E+00,6.582488E+03,0.000000E+00,2.264554E-01,0.000000E+00
06:10:00,4.660004E+03,0.000000E+00,1.580627E-01,0.000000E+00,6.582578E+03,0.000000E+00,2.264588E-01,0.000000E+00
06:20:00,4.659875E+03,0.000000E+00,1.580581E-01,0.000000E+00,6.582666E+03,0.000000E+00,2.264622E-01,0.000000E+00
06:30:00,4.659750E+03,0.000000E+00,1.580535E-01,0.000000E+00,6.582751E+03,0.000000E+00,2.264654E-01,0.000000E+00
06:40:00,4.659627E+03,0.000000E+00,1.580491E-01,0.000000E+00,6.582834E+03,0.000000E+00,2.264686E-01,0.000000E+00
06:50:00,4.659507E+03,0.000000E+00,1.580448E-01,0.000000E+00,6.582914E+03,0.000000E+00,2.264716E-01,0.000000E+00
07:00:00,4.659389E+03,0.000000E+00,1.580406E-01,0.000000E+00,6.582992E+03,0.000000E+00,2.264746E-01,0.000000E+00
07:10:00,4.657630E+03,0.000000E+00,1.579807E-01,0.000000E+00,6.583069E+03,0.000000E+00,2.264775E-01,0.000000E+00
07:20:00,4.655815E+03,0.000000E+00,1.579186E-01,0.000000E+00,6.583143E+03,0.000000E+00,2.264803E-01,0.000000E+00
07:30:00,4.653954E+03,0.000000E+00,1.578548E-01,0.000000E+00,6.583214E+03,0.000000E+00,2.264831E-01,0.000000E+00
07:40:00,4.652059E+03,0.000000E+00,1.577898E-01,0.000000E+00,6.583282E+03,0.000000E+00,2.264857E-01,0.000000E+00
07:50:00,4.650136E+03,0.000000E+00,1.577238E-01,0.000000E+00,6.583347E+03,0.000000E+00,2.264882E-01,0.000000E+00
08:00:00,4.648191E+03,0.000000E+00,1.576570E-01,0.000000E+00,6.583410E+03,0.000000E+00,2.264906E-01,0.000000E+00
08:10:00,4.647871E+03,0.000000E+00,1.576452E-01,0.000000E+00,6.583471E+03,0.000000E+00,2.264929E-01,0.000000E+00
08:20:00,4.668824E+03,0.000000E+00,1.583553E-01,0.000000E+00,6.583532E+03,0.000000E+00,2.264952E-01,0.000000E+00
08:30:00,4.690512E+03,0.000000E+00,1.590948E-01,0.000000E+00,6.583601E+03,0.000000E+00,2.264978E-01,0.000000E+00
08:40:00,4.712752E+03,0.000000E+00,1.598545E-01,0.000000E+00,6.583679E+03,0.000000E+00,2.265007E-01,0.000000E+00
08:50:00,4.735444E+03,0.000000E+00,1.606307E-01,0.000000E+00,6.583770E+03,0.000000E+00,2.265041E-01,0.000000E+00
09:00:00,4.758511E+03,0.000000E+00,1.614205E-01,0.000000E+00,6.583873E+03,0.000000E+00,2.265080E-01,0.000000E+00
09:10:00,4.781887E+03,0.000000E+00,1.622215E-01,0.000000E+00,6.583988E+03,0.000000E+00,2.265123E-01,0.000000E+00
09:20:00,4.784293E+03,0.000000E+00,1.623120E-01,0.000000E+00,6.584112E+03,0.000000E+00,2.265169E-01,0.000000E+00
09:30:00,4.786247E+03,0.000000E+00,1.623832E-01,0.000000E+00,6.573532E+03,0.000000E+00,2.261533E-01,0.000000E+00
09:40:00,4.787841E+03,0.000000E+00,1.624412E-01,0.000000E+00,6.562651E+03,0.000000E+00,2.257745E-01,0.000000E+00
09:50:00,4.789175E+03,0.000000E+00,1.624898E-01,0.000000E+00,6.562170E+03,0.000000E+00,2.257525E-01,0.000000E+00
10:00:00,4.790273E+03,0.000000E+00,1.625298E-01,0.000000E+00,6.561816E+03,0.000000E+00,2.257387E-01,0.000000E+00
10:10:00,4.791193E+03,0.000000E+00,1.625633E-01,0.000000E+00,6.561563E+03,0.000000E+00,2.257287E-01,0.000000E+00
