timestep,year,month,day,hour,Site Outdoor Air Drybulb Temperature(Environment),Environmental Impact Total CO2 Emissions Carbon Equivalent Mass(Site),Facility Net Purchased Electricity Rate(Whole Building),Zone Operative Temperature(Living),Zone Air Temperature(Living),Zone Operative Temperature(Bedroom),Zone Air Temperature(Bedroom),Schedule Value(Main Hot Water Loop Temp Manager-EXT),Zone Air CO2 Concentration(Living),Zone Air CO2 Concentration(Bedroom),Zone People Occupant Count(Living),Zone People Occupant Count(Bedroom),Schedule Value(Living-Thermostat Dual SP Control-HEATING-EXT),Schedule Value(Bedroom-Thermostat Dual SP Control-HEATING-EXT),Zone Ventilation Air Change Rate(Living),Zone Ventilation Air Change Rate(Bedroom),Schedule Value(Living-Ventilation-EXT),Schedule Value(Bedroom-Ventilation-EXT),Schedule Value(1 Hour Temperature Forecast Schedule),Schedule Value(0 Hour Living Comfort Temperature Forecast Schedule),Schedule Value(0 Hour Bedroom Comfort Temperature Forecast Schedule),Schedule Value(1 Hour Living Comfort Temperature Forecast Schedule),Schedule Value(1 Hour Bedroom Comfort Temperature Forecast Schedule),Schedule Value(2 Hour Living Comfort Temperature Forecast Schedule),Schedule Value(2 Hour Bedroom Comfort Temperature Forecast Schedule),Schedule Value(3 Hour Living Comfort Temperature Forecast Schedule),Schedule Value(3 Hour Bedroom Comfort Temperature Forecast Schedule),Schedule Value(4 Hour Living Comfort Temperature Forecast Schedule),Schedule Value(4 Hour Bedroom Comfort Temperature Forecast Schedule),Schedule Value(5 Hour Living Comfort Temperature Forecast Schedule),Schedule Value(5 Hour Bedroom Comfort Temperature Forecast Schedule),Living-Ventilation-EXT,Bedroom-Ventilation-EXT,Main Hot Water Loop Temp Manager-EXT,Living-Thermostat Dual SP Control-HEATING-EXT,Bedroom-Thermostat Dual SP Control-HEATING-EXT,time (seconds),reward,emissions,reward_emissions,abs_comfort,reward_comfort,abs_air_quality,reward_air_quality,done
0,2022.0,1.0,1.0,0.0,12.39,0.0,0.0,20.030003,20.349339,20.016914,20.220743,80.0,536.1163,612.689,1.0,2.0,20.0,20.0,0.0,0.0,0.0,0.0,12.6,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,,,,,,0,,,,,False
1,2022.0,1.0,1.0,0.0,12.348333,0.0,0.0,19.628721,19.583128,19.758314,19.719889,85.0,525.624,623.87866,0.0,2.0,19.054012,19.001528,0.0,0.0,0.0,0.0,12.23,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,0.0,0.0,85.0,19.05401200056076,19.00152713060379,600,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
2,2022.0,1.0,1.0,0.0,12.306666,0.0,0.0,19.37884,19.2306,19.688457,19.65151,85.0,505.84583,645.6328,0.0,2.0,18.147118,18.00392,0.0,0.0,0.0,0.0,12.31,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,0.0,0.0,85.0,18.14711833000183,18.00391948223114,1200,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
3,2022.0,1.0,1.0,0.0,12.265,0.0,0.0,19.277279,19.12856,19.645338,19.608873,85.0,494.04276,658.96606,0.0,2.0,17.300377,17.008026,0.0,0.0,0.0,0.0,12.4,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,0.0,0.0,85.0,17.30037659406662,17.008026361465454,1800,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
4,2022.0,1.0,1.0,0.0,12.223333,0.0,0.0,19.196722,19.049042,19.605923,19.569899,85.0,483.9445,670.61816,0.0,2.0,16.621744,16.012959,0.0,0.0,0.0,0.0,12.49,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,0.0,0.0,85.0,16.62174344062805,16.012959420680996,2400,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
5,2022.0,1.0,1.0,0.0,12.181666,0.0,0.0,19.126623,18.980145,19.570433,19.534798,85.0,475.28845,680.85425,0.0,2.0,16.119375,15.019671,0.0,0.0,0.0,0.0,12.57,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,0.0,0.0,85.0,16.119374692440033,15.019671142101288,3000,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
6,2022.0,1.0,1.0,1.0,12.14,0.0,0.0,19.063707,18.918467,19.537704,19.502441,85.0,467.85794,689.8959,0.0,2.0,15.777381,14.0290985,0.0,0.0,0.0,0.0,12.66,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,0.0,0.0,85.0,15.777380973100659,14.029098749160768,3600,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
7,2022.0,1.0,1.0,1.0,12.226666,0.0,0.0,19.00879,18.866993,19.50784,19.473558,85.0,461.4391,697.6671,0.0,2.0,15.551816,13.044658,0.0,0.0,0.0,0.0,12.68,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,0.0,0.0,85.0,15.551815554499624,13.044658124446872,4200,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
8,2022.0,1.0,1.0,1.0,12.3133335,0.0,0.0,18.959175,18.820875,19.48022,19.446903,85.0,455.8906,704.3462,0.0,2.0,15.384791,12.068892,0.0,0.0,0.0,0.0,12.71,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,0.0,0.0,85.0,15.384791299700732,12.068891346454622,4800,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
9,2022.0,1.0,1.0,1.0,12.4,0.0,0.0,18.913685,18.77885,19.454582,19.42222,85.0,451.09235,710.0869,0.0,2.0,15.25477,12.0,0.0,0.0,0.0,0.0,12.73,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,0.0,0.0,85.0,15.254770293831818,12.0,5400,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
10,2022.0,1.0,1.0,1.0,12.486667,0.0,0.0,18.871708,18.7403,19.430733,19.399313,85.0,446.94138,715.02106,0.0,2.0,15.1031065,12.0,0.0,0.0,0.0,0.0,12.75,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,0.0,0.0,85.0,15.103106588125224,12.0,6000,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
11,2022.0,1.0,1.0,1.0,12.573334,0.0,0.0,18.832802,18.704767,19.408503,19.378017,85.0,443.34915,719.2617,0.0,2.0,14.961201,12.0,0.0,0.0,0.0,0.0,12.78,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,0.0,0.0,85.0,14.96120110154151,12.0,6600,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
12,2022.0,1.0,1.0,2.0,12.66,0.0,0.0,18.796583,18.671867,19.387741,19.358185,85.0,440.23953,722.90576,0.0,2.0,14.844844,12.0,0.0,0.0,0.0,0.0,12.8,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,0.0,0.0,85.0,14.84484399110078,12.0,7200,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
13,2022.0,1.0,1.0,2.0,12.683333,0.0,0.0,18.758883,18.635344,19.365194,19.335575,85.0,437.53546,725.8317,0.0,2.0,14.763887,12.0,0.0,0.0,0.0,0.0,12.8,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,12.0,20.0,0.0,0.0,85.0,14.763887502253047,12.0,7800,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,False
