,GRID CARBON INTENSITY (gCO2/kWh)
2017-01-01 00:00:00+00:00,279.2208582143704
2017-01-01 00:10:00+00:00,280.61341271591454
2017-01-01 00:20:00+00:00,282.00596721745865
2017-01-01 00:30:00+00:00,283.39852171900276
2017-01-01 00:40:00+00:00,284.79107622054687
2017-01-01 00:50:00+00:00,286.183630722091
2017-01-01 01:00:00+00:00,287.5761852236351
2017-01-01 01:10:00+00:00,284.3127586236568
2017-01-01 01:20:00+00:00,281.0493320236786
2017-01-01 01:30:00+00:00,277.78590542370034
2017-01-01 01:40:00+00:00,274.52247882372205
2017-01-01 01:50:00+00:00,271.25905222374377
2017-01-01 02:00:00+00:00,267.99562562376553
2017-01-01 02:10:00+00:00,264.75882396200694
2017-01-01 02:20:00+00:00,261.5220223002484
2017-01-01 02:30:00+00:00,258.2852206384898
2017-01-01 02:40:00+00:00,255.04841897673126
2017-01-01 02:50:00+00:00,251.81161731497266
2017-01-01 03:00:00+00:00,248.5748156532141
2017-01-01 03:10:00+00:00,245.37121253659475
2017-01-01 03:20:00+00:00,242.16760941997543
2017-01-01 03:30:00+00:00,238.9640063033561
2017-01-01 03:40:00+00:00,235.76040318673674
2017-01-01 03:50:00+00:00,232.55680007011742
2017-01-01 04:00:00+00:00,229.35319695349807
2017-01-01 04:10:00+00:00,227.73877626323807
2017-01-01 04:20:00+00:00,226.1243555729781
2017-01-01 04:30:00+00:00,224.50993488271808
2017-01-01 04:40:00+00:00,222.89551419245808
2017-01-01 04:50:00+00:00,221.2810935021981
2017-01-01 05:00:00+00:00,219.6666728119381
2017-01-01 05:10:00+00:00,220.5855964123726
2017-01-01 05:20:00+00:00,221.5045200128071
2017-01-01 05:30:00+00:00,222.4234436132416
2017-01-01 05:40:00+00:00,223.3423672136761
2017-01-01 05:50:00+00:00,224.2612908141106
2017-01-01 06:00:00+00:00,225.1802144145451
2017-01-01 06:10:00+00:00,226.73000196740895
2017-01-01 06:20:00+00:00,228.27978952027283
2017-01-01 06:30:00+00:00,229.82957707313668
2017-01-01 06:40:00+00:00,231.37936462600052
2017-01-01 06:50:00+00:00,232.9291521788644
2017-01-01 07:00:00+00:00,234.47893973172825
2017-01-01 07:10:00+00:00,228.0426968602569
2017-01-01 07:20:00+00:00,221.60645398878555
2017-01-01 07:30:00+00:00,215.1702111173142
2017-01-01 07:40:00+00:00,208.73396824584287
2017-01-01 07:50:00+00:00,202.2977253743715
2017-01-01 08:00:00+00:00,195.86148250290017
2017-01-01 08:10:00+00:00,199.17303252018183
2017-01-01 08:20:00+00:00,202.4845825374635
2017-01-01 08:30:00+00:00,205.79613255474516
2017-01-01 08:40:00+00:00,209.10768257202685
2017-01-01 08:50:00+00:00,212.4192325893085
2017-01-01 09:00:00+00:00,215.73078260659017
2017-01-01 09:10:00+00:00,217.67950595231275
2017-01-01 09:20:00+00:00,219.6282292980353
2017-01-01 09:30:00+00:00,221.57695264375786
2017-01-01 09:40:00+00:00,223.52567598948045
2017-01-01 09:50:00+00:00,225.47439933520303
2017-01-01 10:00:00+00:00,227.4231226809256
2017-01-01 10:10:00+00:00,229.3677996770817
2017-01-01 10:20:00+00:00,231.31247667323782
2017-01-01 10:30:00+00:00,233.25715366939394
2017-01-01 10:40:00+00:00,235.20183066555006
2017-01-01 10:50:00+00:00,237.14650766170618
2017-01-01 11:00:00+00:00,239.0911846578623
2017-01-01 11:10:00+00:00,242.3961218738684
2017-01-01 11:20:00+00:00,245.70105908987446
2017-01-01 11:30:00+00:00,249.00599630588056
2017-01-01 11:40:00+00:00,252.31093352188665
2017-01-01 11:50:00+00:00,255.61587073789272
2017-01-01 12:00:00+00:00,258.9208079538988
2017-01-01 12:10:00+00:00,260.4760192649598
2017-01-01 12:20:00+00:00,262.0312305760208
2017-01-01 12:30:00+00:00,263.58644188708183
2017-01-01 12:40:00+00:00,265.1416531981428
2017-01-01 12:50:00+00:00,266.6968645092038
2017-01-01 13:00:00+00:00,268.2520758202648
2017-01-01 13:10:00+00:00,270.2000608703241
2017-01-01 13:20:00+00:00,272.14804592038337
2017-01-01 13:30:00+00:00,274.0960309704427
2017-01-01 13:40:00+00:00,276.044016020502
2017-01-01 13:50:00+00:00,277.9920010705613
2017-01-01 14:00:00+00:00,279.9399861206206
2017-01-01 14:10:00+00:00,282.5555651139932
2017-01-01 14:20:00+00:00,285.1711441073659
2017-01-01 14:30:00+00:00,287.7867231007385
2017-01-01 14:40:00+00:00,290.40230209411123
2017-01-01 14:50:00+00:00,293.0178810874839
2017-01-01 15:00:00+00:00,295.63346008085654
2017-01-01 15:10:00+00:00,298.39788564824767
2017-01-01 15:20:00+00:00,301.1623112156388
2017-01-01 15:30:00+00:00,303.9267367830299
2017-01-01 15:40:00+00:00,306.69116235042105
2017-01-01 15:50:00+00:00,309.4555879178122
2017-01-01 16:00:00+00:00,312.2200134852033
2017-01-01 16:10:00+00:00,312.5193645555654
2017-01-01 16:20:00+00:00,312.8187156259275
2017-01-01 16:30:00+00:00,313.1180666962896
2017-01-01 16:40:00+00:00,313.41741776665174
2017-01-01 16:50:00+00:00,313.71676883701383
2017-01-01 17:00:00+00:00,314.0161199073759
2017-01-01 17:10:00+00:00,313.20819627642936
2017-01-01 17:20:00+00:00,312.40027264548286
2017-01-01 17:30:00+00:00,311.59234901453635
2017-01-01 17:40:00+00:00,310.7844253835898
2017-01-01 17:50:00+00:00,309.97650175264323
2017-01-01 18:00:00+00:00,309.1685781216967
2017-01-01 18:10:00+00:00,308.60637337787034
