,GRID CARBON INTENSITY (gCO2/kWh)
2017-01-01 00:00:00+00:00,279.22085821437037
2017-01-01 01:00:00+00:00,287.5761852236351
2017-01-01 02:00:00+00:00,267.99562562376553
2017-01-01 03:00:00+00:00,248.5748156532141
2017-01-01 04:00:00+00:00,229.35319695349807
2017-01-01 05:00:00+00:00,219.6666728119381
2017-01-01 06:00:00+00:00,225.1802144145451
2017-01-01 07:00:00+00:00,234.47893973172825
2017-01-01 08:00:00+00:00,195.86148250290017
2017-01-01 09:00:00+00:00,215.73078260659017
2017-01-01 10:00:00+00:00,227.42312268092562
2017-01-01 11:00:00+00:00,239.0911846578623
2017-01-01 12:00:00+00:00,258.92080795389876
2017-01-01 13:00:00+00:00,268.2520758202648
2017-01-01 14:00:00+00:00,279.9399861206206
2017-01-01 15:00:00+00:00,295.63346008085654
2017-01-01 16:00:00+00:00,312.2200134852033
2017-01-01 17:00:00+00:00,314.0161199073759
2017-01-01 18:00:00+00:00,309.1685781216967
2017-01-01 19:00:00+00:00,305.7953496587383
2017-01-01 20:00:00+00:00,294.6883151945698
2017-01-01 21:00:00+00:00,283.6550547559125
2017-01-01 22:00:00+00:00,278.08723767271164
2017-01-01 23:00:00+00:00,284.99753097653326
2017-01-02 00:00:00+00:00,275.49422452312086
2017-01-02 01:00:00+00:00,282.8052261320455
2017-01-02 02:00:00+00:00,272.25780607200284
2017-01-02 03:00:00+00:00,270.8682038280041
2017-01-02 04:00:00+00:00,269.8255292004458
2017-01-02 05:00:00+00:00,276.2916983308203
2017-01-02 06:00:00+00:00,288.1430182018382
2017-01-02 07:00:00+00:00,296.665830768663
2017-01-02 08:00:00+00:00,312.7789196575104
2017-01-02 09:00:00+00:00,307.9556159887773
2017-01-02 10:00:00+00:00,310.43108143915725
2017-01-02 11:00:00+00:00,308.32521910483075
2017-01-02 12:00:00+00:00,306.03218986353863
2017-01-02 13:00:00+00:00,311.8132878302542
2017-01-02 14:00:00+00:00,319.9701062380492
2017-01-02 15:00:00+00:00,341.0877959301752
2017-01-02 16:00:00+00:00,362.29905045501096
2017-01-02 17:00:00+00:00,370.0427470470007
2017-01-02 18:00:00+00:00,375.3563044139936
2017-01-02 19:00:00+00:00,375.4970607658053
2017-01-02 20:00:00+00:00,372.53293582799483
2017-01-02 21:00:00+00:00,361.2447099678096
2017-01-02 22:00:00+00:00,320.5006114820665
2017-01-02 23:00:00+00:00,304.5887123844451
2017-01-03 00:00:00+00:00,283.00376804532675
2017-01-03 01:00:00+00:00,274.7988855804518
2017-01-03 02:00:00+00:00,266.17594448910745
2017-01-03 03:00:00+00:00,270.4533772537787
2017-01-03 04:00:00+00:00,280.3778190189347
2017-01-03 05:00:00+00:00,281.41214540601726
2017-01-03 06:00:00+00:00,299.884776483584
2017-01-03 07:00:00+00:00,332.82289824899453
2017-01-03 08:00:00+00:00,351.8305215231907
2017-01-03 09:00:00+00:00,356.47422775013456
2017-01-03 10:00:00+00:00,348.24933537828923
2017-01-03 11:00:00+00:00,337.19448169302046
2017-01-03 12:00:00+00:00,338.25212885154764
2017-01-03 13:00:00+00:00,333.83580499562873
2017-01-03 14:00:00+00:00,340.232510137847
2017-01-03 15:00:00+00:00,349.0300994643572
2017-01-03 16:00:00+00:00,356.6493797002674
2017-01-03 17:00:00+00:00,355.6014677599712
2017-01-03 18:00:00+00:00,360.3636060403079
2017-01-03 19:00:00+00:00,354.39725536320077
2017-01-03 20:00:00+00:00,348.70365618382124
2017-01-03 21:00:00+00:00,330.3523706026314
2017-01-03 22:00:00+00:00,295.86377399736244
2017-01-03 23:00:00+00:00,272.413602105194
2017-01-04 00:00:00+00:00,260.65790072635133
2017-01-04 01:00:00+00:00,265.72870849858384
2017-01-04 02:00:00+00:00,255.8339447539282
2017-01-04 03:00:00+00:00,262.3319475212034
2017-01-04 04:00:00+00:00,264.7153424739812
2017-01-04 05:00:00+00:00,268.884078966077
2017-01-04 06:00:00+00:00,297.8354662702747
2017-01-04 07:00:00+00:00,326.9573757120475
2017-01-04 08:00:00+00:00,348.63975939193136
2017-01-04 09:00:00+00:00,361.16603214955893
2017-01-04 10:00:00+00:00,377.65913841608204
2017-01-04 11:00:00+00:00,373.06326340075896
2017-01-04 12:00:00+00:00,375.67844890447924
2017-01-04 13:00:00+00:00,374.62763037721595
2017-01-04 14:00:00+00:00,379.84496118443377
2017-01-04 15:00:00+00:00,402.6814057976633
2017-01-04 16:00:00+00:00,425.63371315553593
2017-01-04 17:00:00+00:00,425.8292573470466
2017-01-04 18:00:00+00:00,433.47045548077637
2017-01-04 19:00:00+00:00,443.2181620303742
2017-01-04 20:00:00+00:00,431.37964711347956
2017-01-04 21:00:00+00:00,413.83779041161114
2017-01-04 22:00:00+00:00,374.6632008929804
2017-01-04 23:00:00+00:00,354.4401779180735
2017-01-05 00:00:00+00:00,346.3264247752362
2017-01-05 01:00:00+00:00,351.62695226432993
2017-01-05 02:00:00+00:00,348.9479724217659
2017-01-05 03:00:00+00:00,348.67218242626177
2017-01-05 04:00:00+00:00,345.4520008889203
2017-01-05 05:00:00+00:00,350.40977597327355
2017-01-05 06:00:00+00:00,365.8148803497862
2017-01-05 07:00:00+00:00,396.5505606007657
2017-01-05 08:00:00+00:00,419.4743121897363
2017-01-05 09:00:00+00:00,408.2533911334371
2017-01-05 10:00:00+00:00,404.2354262752014
2017-01-05 11:00:00+00:00,395.0140212230662
2017-01-05 12:00:00+00:00,383.9684634427826
2017-01-05 13:00:00+00:00,385.32771237748176
2017-01-05 14:00:00+00:00,403.15204817482964
2017-01-05 15:00:00+00:00,418.1742517691316
2017-01-05 16:00:00+00:00,419.39855775418835
2017-01-05 17:00:00+00:00,419.690769913836
2017-01-05 18:00:00+00:00,417.5364444949091
2017-01-05 19:00:00+00:00,412.87181728903573
2017-01-05 20:00:00+00:00,417.48511425495496
2017-01-05 21:00:00+00:00,383.7319678719207
2017-01-05 22:00:00+00:00,344.08773729759986
2017-01-05 23:00:00+00:00,324.69773083885815
2017-01-06 00:00:00+00:00,311.4856520542004
2017-01-06 01:00:00+00:00,318.9498101858397
2017-01-06 02:00:00+00:00,314.6384836413342
2017-01-06 03:00:00+00:00,309.8126339970461
2017-01-06 04:00:00+00:00,305.8178503436411
2017-01-06 05:00:00+00:00,304.5791386694987
2017-01-06 06:00:00+00:00,328.5419626567173
2017-01-06 07:00:00+00:00,358.4917599122448
2017-01-06 08:00:00+00:00,374.92904962458215
2017-01-06 09:00:00+00:00,391.04679606600433
2017-01-06 10:00:00+00:00,392.9135281536076
2017-01-06 11:00:00+00:00,395.38664504840915
2017-01-06 12:00:00+00:00,398.79490816596143
2017-01-06 13:00:00+00:00,400.9299977920511
2017-01-06 14:00:00+00:00,405.16440487470754
2017-01-06 15:00:00+00:00,405.19756072177637
2017-01-06 16:00:00+00:00,415.42891804379167
2017-01-06 17:00:00+00:00,409.71501721507616
2017-01-06 18:00:00+00:00,418.485768856069
2017-01-06 19:00:00+00:00,424.39453152855515
2017-01-06 20:00:00+00:00,411.4653676741186
2017-01-06 21:00:00+00:00,380.4311976164491
2017-01-06 22:00:00+00:00,353.4195148256141
2017-01-06 23:00:00+00:00,343.36016967738107
2017-01-07 00:00:00+00:00,342.85447752418884
2017-01-07 01:00:00+00:00,341.5506169491144
2017-01-07 02:00:00+00:00,342.8611612234563
2017-01-07 03:00:00+00:00,342.31937541757713
2017-01-07 04:00:00+00:00,344.5865489348663
2017-01-07 05:00:00+00:00,347.5951050405307
2017-01-07 06:00:00+00:00,364.08475775778925
2017-01-07 07:00:00+00:00,369.9013956172221
2017-01-07 08:00:00+00:00,381.0637093008439
2017-01-07 09:00:00+00:00,403.39797900792036
2017-01-07 10:00:00+00:00,426.265504679074
2017-01-07 11:00:00+00:00,448.3554306283802
2017-01-07 12:00:00+00:00,450.5659838620273
2017-01-07 13:00:00+00:00,452.9306983352629
2017-01-07 14:00:00+00:00,448.1830294756463
2017-01-07 15:00:00+00:00,446.2767186074521
2017-01-07 16:00:00+00:00,454.9732106666771
2017-01-07 17:00:00+00:00,438.3547324411404
2017-01-07 18:00:00+00:00,438.8905434303976
2017-01-07 19:00:00+00:00,444.864738259339
2017-01-07 20:00:00+00:00,428.23538259464755
2017-01-07 21:00:00+00:00,392.0844511364948
2017-01-07 22:00:00+00:00,354.41016129463605
2017-01-07 23:00:00+00:00,346.46230620384296
2017-01-08 00:00:00+00:00,339.79289219409185
2017-01-08 01:00:00+00:00,337.3127527554322
2017-01-08 02:00:00+00:00,330.7005735841898
2017-01-08 03:00:00+00:00,326.93121314538666
2017-01-08 04:00:00+00:00,320.8320693568884
2017-01-08 05:00:00+00:00,324.35867721676476
2017-01-08 06:00:00+00:00,332.72769363118846
2017-01-08 07:00:00+00:00,339.9893801651174
2017-01-08 08:00:00+00:00,345.52758598786284
2017-01-08 09:00:00+00:00,360.5182861940513
2017-01-08 10:00:00+00:00,386.535316674286
2017-01-08 11:00:00+00:00,395.421501641686
2017-01-08 12:00:00+00:00,395.79668988351165
2017-01-08 13:00:00+00:00,395.85655786018907
2017-01-08 14:00:00+00:00,401.16358081621945
2017-01-08 15:00:00+00:00,400.30550820054555
2017-01-08 16:00:00+00:00,401.304699471274
2017-01-08 17:00:00+00:00,396.9822310027772
2017-01-08 18:00:00+00:00,401.61722763252595
2017-01-08 19:00:00+00:00,391.85378159517865
2017-01-08 20:00:00+00:00,368.8488227019396
2017-01-08 21:00:00+00:00,340.056525102559
2017-01-08 22:00:00+00:00,300.463811695017
2017-01-08 23:00:00+00:00,274.0638821841662
2017-01-09 00:00:00+00:00,260.40663493072464
2017-01-09 01:00:00+00:00,265.5885302436922
2017-01-09 02:00:00+00:00,257.83553690563986
2017-01-09 03:00:00+00:00,249.93427343057843
2017-01-09 04:00:00+00:00,230.73992233096928
2017-01-09 05:00:00+00:00,239.05338285416784
2017-01-09 06:00:00+00:00,275.5258267850162
2017-01-09 07:00:00+00:00,317.376221262497
2017-01-09 08:00:00+00:00,341.4524587565208
2017-01-09 09:00:00+00:00,340.4773573007392
2017-01-09 10:00:00+00:00,346.74418581274404
2017-01-09 11:00:00+00:00,339.99873952727387
2017-01-09 12:00:00+00:00,339.71135925994594
2017-01-09 13:00:00+00:00,338.6316452858599
2017-01-09 14:00:00+00:00,332.59640651665666
2017-01-09 15:00:00+00:00,320.8779368200021
2017-01-09 16:00:00+00:00,334.87694573482116
2017-01-09 17:00:00+00:00,330.6509667387758
2017-01-09 18:00:00+00:00,343.138536277318
2017-01-09 19:00:00+00:00,328.2482164241866
2017-01-09 20:00:00+00:00,322.5483399775016
2017-01-09 21:00:00+00:00,294.95250584020135
2017-01-09 22:00:00+00:00,263.54417233165805
2017-01-09 23:00:00+00:00,243.53743808668054
2017-01-10 00:00:00+00:00,228.21188713926264
2017-01-10 01:00:00+00:00,245.25536533243422
2017-01-10 02:00:00+00:00,238.37532260038313
2017-01-10 03:00:00+00:00,237.21888559219636
2017-01-10 04:00:00+00:00,236.45563113738453
2017-01-10 05:00:00+00:00,233.6054757283822
2017-01-10 06:00:00+00:00,253.02853628772394
2017-01-10 07:00:00+00:00,299.1742893288817
2017-01-10 08:00:00+00:00,324.8466611451869
2017-01-10 09:00:00+00:00,332.85788435692564
2017-01-10 10:00:00+00:00,334.50308507929805
2017-01-10 11:00:00+00:00,339.4032311138238
2017-01-10 12:00:00+00:00,349.46982675822596
2017-01-10 13:00:00+00:00,353.98138590905626
2017-01-10 14:00:00+00:00,357.0656867739282
2017-01-10 15:00:00+00:00,364.27585366914735
2017-01-10 16:00:00+00:00,374.31786927363135
2017-01-10 17:00:00+00:00,375.261008132231
2017-01-10 18:00:00+00:00,374.17472852620335
2017-01-10 19:00:00+00:00,377.12255319455636
2017-01-10 20:00:00+00:00,364.8714784527223
