,REFERENCE BUILDING CODE,ROOF,WALL,FLOOR,WINDOW,DOOR,BUILDING STOCK SEGMENT NUMBER OF BUILDINGS,A_Floor_1,A_Floor_2,A_Wall_1,A_Wall_2,A_Wall_3,A_Window_1,A_Window_2,A_Window_East,A_Window_South,A_Window_West,A_Window_North,A_Estim_Roof,A_Roof_1,A_Roof_2,A_Door_1,NUMBER OF REFERENCE BUILDING STOREYS,n_Apartment,Code_AttachedNeighbours,Code_AtticCond,h_Ceiling,delta_U_ThermalBridging_Original,n_air_infiltration,U_Roof_1,U_Roof_2,U_Wall_1,U_Wall_2,U_Wall_3,U_Floor_1,U_Floor_2,U_Window_1,U_Window_2,U_Door_1,g_gl_n_Window_1,g_gl_n_Window_2,d_Insulation_Roof_1,d_Insulation_Roof_2,d_Insulation_Wall_1,d_Insulation_Wall_2,d_Insulation_Wall_3,d_Insulation_Floor_1,d_Insulation_Floor_2,REFERENCE BUILDING GROUND FLOOR AREA (m2),REFERENCE BUILDING WALL AREA (m2),REFERENCE BUILDING WINDOW AREA (m2),REFERENCE BUILDING ROOF AREA (m2)
0,GB-AB-03,Simple flat roof + Insulation (12mm),Solid Wall,Concrete ground floor,Wood,Wood,220000.0,316.5,0,2027.58,0,0,714.3,0,361.61,0,352.69,0,0,316.5,0,7.6,11,59,B_Alone,N,0,0.1,0.2,2.3,0,2.1,0,0,0.45,0,4.8,0,3,0.85,0,0,0,0,0,0,0,0,316.5,2027.58,714.3,316.5
1,GB-AB-04,Flat roof,Filled Cavity,Concrete ground floor,Wood,PVC,92000.0,360.13,0,2250.57,0,0,912.41,0,455.64,0,456.77,0,551.2621538461539,360.13,0,7.6,13,69,B_Alone,NI,0,0.1,0.2,1.5,0,1.6,0,0,0.45,0,3.1,0,1.8,0.76,0,0.012,0,0,0,0,0,0,360.13,2250.57,912.41,360.13
2,GB-AB-07,Flat roof + insulation (250mm),Modern Cavity,Modern concrete floor,Wood,PVC,148000.0,460.86,0,1691.54,0,0,764.86,0,392.71,0,372.15,0,734.1306666666668,460.86,0,7.6,9,59,B_Alone,NI,0,0.05,0.1,0.25,0,0.28,0,0,0.25,0,1.85,0,1.8,0.72,0,0.25,0,0,0,0,0,0,460.86,1691.54,764.86,460.86
3,GB-MFH-01,Generic roof,Solid Wall,Concrete ground floor,Wood,Wood,510000.0,149.11,0,233.3,0,0,69.79,0,37.56,0,32.22,0,0,149.11,0,1.9,3,6,B_Alone,N,0,0.15,0.2,2.3,0,2.1,0,0,0.45,0,4.8,0,3,0.85,0,0,0,0,0,0,0,0,149.11,233.3,69.79,149.11
4,GB-MFH-02,Generic roof,Solid Wall,Concrete ground floor,Wood,Wood,190000.0,168.18,0,291.7,0,0,102.9,0,51.2,0,51.7,0,0,168.18,0,1.9,3,8,B_Alone,N,0,0.15,0.2,2.3,0,2.1,0,0,0.45,0,4.8,0,3,0.85,0,0,0,0,0,0,0,0,168.18,291.7,102.9,168.18
5,GB-MFH-03,Generic roof,Filled Cavity,Concrete ground floor,Wood,Wood,200000.0,156.66,0,327.01,0,0,108.37,0,55.6,0,52.8,0,0,156.66,0,1.9,3,7,B_Alone,N,0,0.1,0.2,2.3,0,1.6,0,0,0.45,0,4.8,0,3,0.85,0,0,0,0,0,0,0,0,156.66,327.01,108.37,156.66
6,GB-MFH-04,Generic roof,Filled Cavity,Concrete ground floor,Wood,PVC,210000.0,195,0,355.01,0,0,110.5,0,56.38,0,54.12,0,313.3573333333333,195,0,1.9,3,9,B_Alone,NI,0,0.1,0.2,1.5,0,1.6,0,0,0.45,0,3.1,0,1.8,0.76,0,0.012,0,0,0,0,0,0,195,355.01,110.5,195
7,GB-MFH-05,Generic roof + insulation (100mm),Filled Cavity,Concrete ground floor,Wood,PVC,80000.0,220.11,0,347.9,0,0,96.33,0,48.05,0,48.28,0,352.67466666666667,220.11,0,1.9,3,12,B_Alone,NI,0,0.1,0.2,0.4,0,1.6,0,0,0.45,0,3.1,0,1.8,0.76,0,0.1,0,0,0,0,0,0,220.11,347.9,96.33,220.11
8,GB-MFH-06,Generic roof + insulation (150mm),Filled Cavity,Concrete ground floor,Wood,PVC,180000.0,240.33,0,384.16,0,0,124.21,0,63.43,0,60.78,0,384.37600000000003,240.33,0,1.9,3,12,B_Alone,NI,0,0.05,0.1,0.35,0,1.6,0,0,0.45,0,3.1,0,1.8,0.76,0,0.15,0,0,0,0,0,0,240.33,384.16,124.21,240.33
9,GB-MFH-07,Flat roof + insulation (250mm),Filled Cavity,Modern concrete floor,Wood,PVC,180000.0,342.81,0,513.02,0,0,153.47,0,76.98,0,76.49,0,545.3573333333333,342.81,0,1.9,3,16,B_Alone,NI,0,0.05,0.1,0.25,0,0.35,0,0,0.25,0,1.85,0,1.8,0.72,0,0.25,0,0,0,0,0,0,342.81,513.02,153.47,342.81
10,GB-MFH-08,Generic roof + insulation (250mm),Modern Cavity,Modern concrete floor,Wood,PVC,200000.0,342.82,0,513,0,0,153.5,0,77,0,76.5,0,545.3466666666667,342.82,0,1.9,3,16,B_Alone,NI,0,0.05,0.1,0.16,0,0.28,0,0,0.22,0,1.85,0,1.8,0.72,0,0.25,0,0,0,0,0,0,342.82,513,153.5,342.82
11,GB-SFH-01,Generic roof,Solid Wall,Suspended ground floor SFH,Wood,Wood,1560000.0,113.45,0,200.3,0,0,46.5,0,22.7,0,23.8,0,0,113.45,0,3.8,2,1,B_Alone,N,0,0.15,0.2,2.3,0,2.1,0,0,0.72,0,4.8,0,3,0.85,0,0,0,0,0,0,0,0,113.45,200.3,46.5,113.45
12,GB-SFH-02,Generic roof,Solid Wall,Suspended ground floor SFH,Wood,Wood,590000.0,97.57,0,155.32,0,0,40.36,0,20.03,0,20.03,0,0,97.57,0,3.8,2,1,B_Alone,N,0,0.15,0.2,2.3,0,2.1,0,0,0.72,0,4.8,0,3,0.85,0,0,0,0,0,0,0,0,97.57,155.32,40.36,97.57
13,GB-SFH-03,Generic roof,Filled Cavity,Suspended ground floor SFH,Wood,Wood,1250000.0,97.32,0,134.1,0,0,35.3,0,17.2,0,18.1,0,0,97.32,0,3.8,2,1,B_Alone,N,0,0.1,0.2,2.3,0,1.6,0,0,0.72,0,4.8,0,3,0.85,0,0,0,0,0,0,0,0,97.32,134.1,35.3,97.32
14,GB-SFH-04,Generic roof,Filled Cavity,Suspended ground floor SFH,Wood,PVC,1050000.0,86.89,0,138.1,0,0,31.7,0,15.7,0,16,0,113.464,86.89,0,3.8,2,1,B_Alone,NI,0,0.1,0.2,1.5,0,1.6,0,0,0.72,0,4.8,0,1.8,0.85,0,0.012,0,0,0,0,0,0,86.89,138.1,31.7,86.89
15,GB-SFH-05,Generic roof + insulation (100mm),Filled Cavity,Suspended ground floor SFH,Wood,PVC,530000.0,82.36,0,152.2,0,0,30.4,0,15.3,0,15.2,0,116.36000000000001,82.36,0,3.8,2,1,B_Alone,NI,0,0.1,0.2,0.4,0,1.6,0,0,0.72,0,3.1,0,1.8,0.76,0,0.1,0,0,0,0,0,0,82.36,152.2,30.4,82.36
16,GB-SFH-06,Generic roof + insulation (150mm),Filled Cavity,Concrete ground floor,Wood,PVC,980000.0,84.56,0,166.8,0,0,34.2,0,17.7,0,16.5,0,127.64000000000001,84.56,0,3.8,2,1,B_Alone,NI,0,0.05,0.1,0.35,0,1.6,0,0,0.45,0,3.1,0,1.8,0.76,0,0.15,0,0,0,0,0,0,84.56,166.8,34.2,84.56
17,GB-SFH-07,Generic roof + insulation (150mm),Modern Cavity,Modern concrete floor,Wood,PVC,760000.0,86.92,0,168.76,0,0,35.51,0,18.11,0,17.4,0,134.48000000000002,86.92,0,3.8,2,1,B_Alone,NI,0,0.05,0.1,0.2,0,0.35,0,0,0.25,0,1.85,0,1.8,0.72,0,0.25,0,0,0,0,0,0,86.92,168.76,35.51,86.92
18,GB-SFH-08,Generic roof + insulation (250mm),Modern Cavity,Modern concrete floor,Wood,PVC,1010000.0,86.92,0,168.8,0,0,35.5,0,18.1,0,17.4,0,134.52,86.92,0,3.8,2,1,B_Alone,NI,0,0.05,0.1,0.16,0,0.28,0,0,0.22,0,1.85,0,1.8,0.72,0,0.25,0,0,0,0,0,0,86.92,168.8,35.5,86.92
19,GB-TH-01,Generic roof,Solid Wall,Suspended ground floor TH ,Wood,Wood,1560000.0,56.35,0,89.1,0,0,24,0,11.2,0,12.7,0,0,56.35,0,3.8,2,1,B_N2,N,0,0.15,0.2,2.3,0,2.1,0,0,0.59,0,4.8,0,3,0.85,0,0,0,0,0,0,0,0,56.35,89.1,24,56.35
20,GB-TH-02,Generic roof,Solid Wall,Suspended ground floor TH ,Wood,Wood,590000.0,53.46,0,87.6,0,0,25.4,0,13.6,0,11.8,0,0,53.46,0,3.8,2,1,B_N1,N,0,0.15,0.2,2.3,0,2.1,0,0,0.59,0,4.8,0,3,0.85,0,0,0,0,0,0,0,0,53.46,87.6,25.4,53.46
21,GB-TH-03,Generic roof,Filled Cavity,Suspended ground floor TH ,Wood,Wood,1250000.0,52.96,0,84.8,0,0,23.1,0,12.4,0,10.8,0,0,52.96,0,3.8,2,1,B_N1,N,0,0.1,0.2,2.3,0,1.6,0,0,0.59,0,4.8,0,3,0.85,0,0,0,0,0,0,0,0,52.96,84.8,23.1,52.96
22,GB-TH-04,Generic roof,Filled Cavity,Suspended ground floor TH ,Wood,PVC,1050000.0,51.94,0,77.8,0,0,20.8,0,10.8,0,10,0,83.256,51.94,0,3.8,2,1,B_N2,NI,0,0.1,0.2,1.5,0,1.6,0,0,0.59,0,3.1,0,1.8,0.76,0,0.012,0,0,0,0,0,0,51.94,77.8,20.8,51.94
23,GB-TH-05,Generic roof + insulation (100mm),Filled Cavity,Suspended ground floor TH ,Wood,PVC,530000.0,44.3,0,73.82,0,0,16.76,0,8.72,0,8.04,0,74.40800000000002,44.3,0,3.8,2,1,B_N1,NI,0,0.1,0.2,0.4,0,1.6,0,0,0.59,0,3.1,0,1.8,0.76,0,0.1,0,0,0,0,0,0,44.3,73.82,16.76,44.3
24,GB-TH-06,Generic roof + insulation (150mm),Filled Cavity,Concrete ground floor,Wood,PVC,980000.0,44.31,0,81.21,0,0,17.59,0,9.15,0,8.43,0,79.272,44.31,0,3.8,2,1,B_N2,NI,0,0.05,0.1,0.35,0,1.6,0,0,0.45,0,3.1,0,1.8,0.76,0,0.15,0,0,0,0,0,0,44.31,81.21,17.59,44.31
25,GB-TH-07,Generic roof + insulation (150mm),Modern Cavity,Modern concrete floor,Wood,PVC,760000.0,47.27,0,87.49,0,0,19.39,0,10.39,0,9,0,93.72000000000001,47.27,0,3.8,2,1,B_N1,NI,0,0.05,0.1,0.2,0,0.35,0,0,0.25,0,1.85,0,1.8,0.72,0,0.25,0,0,0,0,0,0,47.27,87.49,19.39,47.27
26,GB-TH-08,Generic roof + insulation (250mm),Modern Cavity,Modern concrete floor,Wood,PVC,1010000.0,47.27,0,87.5,0,0,19.4,0,10.4,0,9,0,93.72000000000001,47.27,0,3.8,2,1,B_N1,NI,0,0.05,0.1,0.16,0,0.28,0,0,0.22,0,1.85,0,1.8,0.72,0,0.25,0,0,0,0,0,0,47.27,87.5,19.4,47.27
