Code_BuildingVariant,Number Of Buildings
GB.ENG.AB.03.Gen.ReEx.001.001,0.22
GB.ENG.AB.04.Gen.ReEx.001.001,0.092
GB.ENG.AB.07.Gen.ReEx.001.001,0.148
GB.ENG.MFH.01.Gen.ReEx.001.001,0.51
GB.ENG.MFH.02.Gen.ReEx.001.001,0.19
GB.ENG.MFH.03.Gen.ReEx.001.001,0.20
GB.ENG.MFH.04.Gen.ReEx.001.001,0.21
GB.ENG.MFH.05.Gen.ReEx.001.001,0.08
GB.ENG.MFH.06.Gen.ReEx.001.001,0.18
GB.ENG.MFH.07.Gen.ReEx.001.001,0.18
GB.ENG.MFH.08.Gen.ReEx.001.001,0.20
GB.ENG.SFH.01.Gen.ReEx.001.001,1.56
GB.ENG.SFH.02.Gen.ReEx.001.001,0.59
GB.ENG.SFH.03.Gen.ReEx.001.001,1.25
GB.ENG.SFH.04.Gen.ReEx.001.001,1.05
GB.ENG.SFH.05.Gen.ReEx.001.001,0.53
GB.ENG.SFH.06.Gen.ReEx.001.001,0.98
GB.ENG.SFH.07.Gen.ReEx.001.001,0.76
GB.ENG.SFH.08.Gen.ReEx.001.001,1.01
GB.ENG.TH.01.Gen.ReEx.001.001,1.56
GB.ENG.TH.02.Gen.ReEx.001.001,0.59
GB.ENG.TH.03.Gen.ReEx.001.001,1.25
GB.ENG.TH.04.Gen.ReEx.001.001,1.05
GB.ENG.TH.05.Gen.ReEx.001.001,0.53
GB.ENG.TH.06.Gen.ReEx.001.001,0.98
GB.ENG.TH.07.Gen.ReEx.001.001,0.76
GB.ENG.TH.08.Gen.ReEx.001.001,1.01
