Type,Tabula Start,Tabula End,Hotmaps Start,Hotmaps End,Hotmaps_building_rate,Before,During,After,Number of buildings,,,
Single family- Terraced houses,1850,1918,,,0,0,0,69,3.1,,,
Single family- Terraced houses,1919,1944,1850,1944,0.045157895,0,26,0,1.2,,,
Single family- Terraced houses,1945,1964,1945,1969,0.1248,0,20,0,2.5,,,
Single family- Terraced houses,1965,1980,1970,1979,0.136,5,10,1,2.1,,,
Single family- Terraced houses,1981,1990,1980,1989,0.106,0,9,1,1.1,,,
Single family- Terraced houses,1991,2003,1990,1999,0.105,0,9,4,2.0,,,
Single family- Terraced houses,2004,2009,2000,2009,0.252,0,6,0,1.5,,,
Single family- Terraced houses,2010,2022,2010,2022,0.155384615,0,13,0,2.0,,,
Multifamily houses,1850,1918,,,0,0,0,69,0.5,,,
Multifamily houses,1919,1944,1850,1944,0.007368421,0,26,0,0.2,,,
Multifamily houses,1945,1964,1945,1969,0.01,0,20,0,0.2,,,
Multifamily houses,1965,1980,1970,1979,0.015,5,10,1,0.2,,,
Multifamily houses,1981,1990,1980,1989,0.008,0,9,1,0.1,,,
Multifamily houses,1991,2003,1990,1999,0.007,0,9,4,0.2,,,
Multifamily houses,2004,2009,2000,2009,0.03,0,6,0,0.2,,,
Multifamily houses,2010,2022,2010,2022,0.015384615,0,13,0,0.2,,,
Appartment blocks,1850,1918,,,0,0,0,69,0.1,1,3,0.2
Appartment blocks,1919,1944,1850,1944,0.001473684,0,26,0,0.0,2,,
Appartment blocks,1945,1964,1945,1969,0.004,0,20,0,0.1,3,,
Appartment blocks,1965,1980,1970,1979,0.004,5,10,1,0.1,4,4,0.1
Appartment blocks,1981,1990,1980,1989,0.003,0,9,1,0.0,5,,
Appartment blocks,1991,2003,1990,1999,0.002,0,9,4,0.1,6,7,0.1
Appartment blocks,2004,2009,2000,2009,0.008,0,6,0,0.0,7,,
Appartment blocks,2010,2022,2010,2022,0.003846154,0,13,0,0.1,8,,
