TABULA_Nomenclature,CUBES_Nomenclature,,,
Pitched roof with Gables,Generic roof,,,
Pitched roof (1967-1975),Generic roof,,,
Pitched roof (1983-1990),Generic roof + insulation (100mm),,,
Pitched roof (post 2004),Generic roof + insulation (150mm),,,
Pitched roof (post 2010),Generic roof + insulation (250mm),,,
Flat roof (1945-1963),Simple flat roof,,,
Flat roof (1967-1975),Simple flat roof + Insulation (12mm),,,
Flat roof (1983-1990),Flat roof,,,
Flat roof (post 2004),Flat roof + insulation (250mm),,,
Masonry cavity wall,Clear cavity,,,
Solid wall,Solid Wall,,,
Cavity wall with insulation,Filled Cavity,,,
Cavity wall (post 2010),Modern Cavity,,,
Floor 1 (SFH),Suspended ground floor SFH,,,
Floor 2 (TH),Suspended ground floor TH ,,,
Floor 3 (Flat),Concrete ground floor,,,
Floor 4 (post 1990),Concrete ground floor,,,
Floor 5 (post 2002),Modern concrete floor,,,
Floor 6 (post 2010),Modern concrete floor,,,
