,country_code,subsector,bage,type,value,building_start,building_end,building_rate,age_range
0,uk,Single family- Terraced houses,Before 1945,Number of buildings [Mil.],4.29,1850.0,1944.0,0.045157894736842105,1850-1944
1,uk,Single family- Terraced houses,1945 - 1969,Number of buildings [Mil.],3.12,1945.0,1969.0,0.12480000000000001,1945-1969
2,uk,Single family- Terraced houses,1970 - 1979,Number of buildings [Mil.],1.36,1970.0,1979.0,0.136,1970-1979
3,uk,Single family- Terraced houses,1980 - 1989,Number of buildings [Mil.],1.06,1980.0,1989.0,0.10600000000000001,1980-1989
4,uk,Single family- Terraced houses,1990 - 1999,Number of buildings [Mil.],1.05,1990.0,1999.0,0.10500000000000001,1990-1999
5,uk,Single family- Terraced houses,2000 - 2010,Number of buildings [Mil.],2.52,2000.0,2009.0,0.252,2000-2009
6,uk,Single family- Terraced houses,Post 2010,Number of buildings [Mil.],2.02,2010.0,2022.0,0.1553846153846154,2010-2022
0,uk,Multifamily houses,Before 1945,Number of buildings [Mil.],0.7,1850.0,1944.0,0.007368421052631579,1850-1944
1,uk,Multifamily houses,1945 - 1969,Number of buildings [Mil.],0.25,1945.0,1969.0,0.01,1945-1969
2,uk,Multifamily houses,1970 - 1979,Number of buildings [Mil.],0.15,1970.0,1979.0,0.015,1970-1979
3,uk,Multifamily houses,1980 - 1989,Number of buildings [Mil.],0.08,1980.0,1989.0,0.008,1980-1989
4,uk,Multifamily houses,1990 - 1999,Number of buildings [Mil.],0.07,1990.0,1999.0,0.007000000000000001,1990-1999
5,uk,Multifamily houses,2000 - 2010,Number of buildings [Mil.],0.3,2000.0,2009.0,0.03,2000-2009
6,uk,Multifamily houses,Post 2010,Number of buildings [Mil.],0.2,2010.0,2022.0,0.015384615384615385,2010-2022
0,uk,Appartment blocks,Before 1945,Number of buildings [Mil.],0.14,1850.0,1944.0,0.0014736842105263158,1850-1944
1,uk,Appartment blocks,1945 - 1969,Number of buildings [Mil.],0.1,1945.0,1969.0,0.004,1945-1969
2,uk,Appartment blocks,1970 - 1979,Number of buildings [Mil.],0.04,1970.0,1979.0,0.004,1970-1979
3,uk,Appartment blocks,1980 - 1989,Number of buildings [Mil.],0.03,1980.0,1989.0,0.003,1980-1989
4,uk,Appartment blocks,1990 - 1999,Number of buildings [Mil.],0.02,1990.0,1999.0,0.002,1990-1999
5,uk,Appartment blocks,2000 - 2010,Number of buildings [Mil.],0.08,2000.0,2009.0,0.008,2000-2009
6,uk,Appartment blocks,Post 2010,Number of buildings [Mil.],0.05,2010.0,2022.0,0.0038461538461538464,2010-2022
