,Code,Energy / GJ,BUILDING STOCK SEGMENT NUMBER OF BUILDINGS,CUBES / GJ,CUBES / TWh,TABULA / TWh,cumsum_Tabula,cumsum_CUBES
0,GB-AB-03,1142.71,900000.0,1028439000.0,285.7003542,1173.40524,1173.40524,285.7003542
1,GB-AB-04,1241.01,400000.0,496404000.0,137.9010312,536.60812,1710.01336,423.6013854
2,GB-AB-07,1051.57,700000.0,736099000.0,204.4883022,221.70645,1931.7198099999998,628.0896876
3,GB-MFH-01,175.91,1162225.114463213,204447019.88522378,56.795382124115164,209.18599278944754,2140.9058027894475,684.8850697241152
4,GB-MFH-02,190.59,437939.8982035295,83466965.19861068,23.187122932174045,92.91731405593447,2233.823116845382,708.0721926562892
5,GB-MFH-03,144.2,435680.7715189124,62825167.25302716,17.452831462890945,85.26124567162799,2319.08436251701,725.5250241191801
6,GB-MFH-04,176.56,682539.2644494153,120509132.53118876,33.477437017164235,143.34437092438773,2462.428733441398,759.0024611363443
7,GB-MFH-05,177.81,347483.6525540717,61786068.26063949,17.16416976280565,70.10034436366601,2532.529077805064,776.1666308991499
8,GB-MFH-06,190.97,575461.8686426906,109895953.05469462,30.529095758594167,122.39020850810411,2654.919286313168,806.6957266577441
9,GB-MFH-07,263.58,425482.1458570058,112148584.00498958,31.154876636586106,37.97904691777136,2692.8983332309394,837.8506032943302
10,GB-MFH-08,262.32,406665.8146736709,106676576.50519735,29.634752953143824,34.197504353864204,2727.0958375848036,867.485356247474
11,GB-SFH-01,102.75,2584603.245421711,265567983.4670808,73.77478580715504,116.83285434409576,2843.9286919288993,941.260142054629
12,GB-SFH-02,89.79,973908.4692893407,87447241.45748991,24.292843676890698,34.79336701959634,2878.7220589484955,965.5529857315197
13,GB-SFH-03,66.17,2016979.437660281,133463529.38998081,37.076168464536664,62.62277418458888,2941.344833133084,1002.6291541960563
14,GB-SFH-04,59.79,1528402.40630546,91383179.87300345,25.38624736872036,41.65935870818666,2983.0041918412708,1028.0154015647768
15,GB-SFH-05,49.16,690635.3254416462,33951632.59871132,9.431763535922006,17.06849956002993,3000.0726914013007,1037.4471651006988
16,GB-SFH-06,48.79,1413108.196579827,68945548.91112976,19.153073487511847,35.86468602919601,3035.937377430497,1056.6002385882107
17,GB-SFH-07,49.78,1196256.657282985,59549656.399546996,16.542894547794155,17.39644281287208,3053.333820243369,1073.1431331360047
18,GB-SFH-08,48.92,1544366.996837492,75550433.48529011,20.98791042221359,21.37728240692425,3074.711102650293,1094.1310435582184
19,GB-TH-01,58.19,2584603.245421711,150398062.85108936,41.780581860032626,64.7249267734732,3139.4360294237663,1135.911625418251
20,GB-TH-02,55.29,973908.4692893407,53847399.26700764,14.958807516374723,22.32636470422349,3161.76239412799,1150.8704329346258
21,GB-TH-03,38.63,2016979.437660281,77915915.67681666,21.64504137501967,42.35011385666539,3204.112507984655,1172.5154743096455
22,GB-TH-04,37.99,1528402.40630546,58064007.41554443,16.130181260038242,28.438219372922543,3232.5507273575777,1188.6456555696836
23,GB-TH-05,28.91,690635.3254416462,19966267.25851799,5.546629044416298,10.522934199624185,3243.073661557202,1194.1922846141
24,GB-TH-06,28.07,1413108.196579827,39665947.07799575,11.01920009826722,22.451463027260292,3265.525124584462,1205.211484712367
25,GB-TH-07,29.29,1196256.657282985,35038357.49181863,9.733655711227215,11.652975349925015,3277.178099934387,1214.9451404235942
26,GB-TH-08,28.81,1544366.996837492,44493213.17888814,12.360214621095126,14.241843571435984,3291.4199435058226,1227.3053550446893
