country|country_code|sector|subsector|btype|bage|topic|feature|type|detail|estimated|value|unit|source
Austria|at|Residential sector|Residential sector|Total||BUILDING|Area|Constructed area [Mm²]||0|347.3519528|Mm²|
Austria|at|Residential sector|Residential sector|Total||BUILDING|Area|Number of dwellings/units [Mil.]||0|5.750000000000001|1e6 dimensionless|
Austria|at|Residential sector|Residential sector|Total||BUILDING|Area|Number of buildings [Mil.]||0|3.3739000000000003|1e6 dimensionless|
Austria|at|Residential sector|Residential sector|Total||BUILDING|Tenure/ownership status and distribution|Owner occupied -  dwellings/units  [Mil.]||0|3.289|1e6 dimensionless|
Austria|at|Residential sector|Residential sector|Total||BUILDING|Tenure/ownership status and distribution|Private rented  -  dwellings/units [Mil.]||0|1.5640000000000003|1e6 dimensionless|
Austria|at|Residential sector|Residential sector|Total||BUILDING|Tenure/ownership status and distribution|Social housing  -  dwellings/units [Mil.]||0|0.8970000000000001|1e6 dimensionless|
Austria|at|Residential sector|Residential sector|Total||BUILDING|Occupancy|Occupied [Mil.]||0|0.9155186721991702|1e6 dimensionless|
Austria|at|Residential sector|Residential sector|Total||BUILDING|Occupancy|Vacant [Mil.]||0|4.83448132780083|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Area|Constructed area [Mm²]||0|78.7339048|Mm²|
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Area|Heated area [Mm²]||0|72.76337490258769|Mm²|
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Area|Cooled area [Mm²]||0|1.65042173|Mm²|
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Area|Number of dwellings/units [Mil.]||0|1.4056514968393359|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Area|Number of buildings [Mil.]||0|0.74|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Tenure/ownership status and distribution|Owner occupied -  dwellings/units  [Mil.]||0|0.8040326561921001|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Tenure/ownership status and distribution|Private rented  -  dwellings/units [Mil.]||0|0.3823372071402994|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Tenure/ownership status and distribution|Social housing  -  dwellings/units [Mil.]||0|0.2192816335069364|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Occupancy|Occupied [Mil.]||0|1.1917777726748766|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Occupancy|Vacant [Mil.]||1|0.16586687662704164|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Occupancy|Secondary dwellings/ units and others [Mil.]||1|0.048006847537417546|1e6 dimensionless|
Austria|at|Residential sector|Total|Total|Before 1945|BUILDING|Construction features (U-values)|Walls||0|1.4118107138877374|dimensionless|
