,sensors,room,equipment,comments,relevant
0,binary_sensor.bedroom_window_door.json,bedroom,window door,is this window or door?,yes
1,binary_sensor.dining_room_early_start.json,,,unsure,
2,binary_sensor.dining_room_link.json,,,unsure,
3,binary_sensor.dining_room_open_window.json,dining room,window,,yes
4,binary_sensor.dining_room_overlay.json,,,unsure,
5,binary_sensor.dining_room_power.json,,,is this if the dining room is consuming power?,maybe
6,binary_sensor.doorbell_debug_device.json,,,,
7,binary_sensor.doorbell_motion_detected.json,,,,
8,binary_sensor.doorbell_person_detected.json,,,,
9,binary_sensor.doorbell_ringing.json,,,,
10,binary_sensor.doorbell_snooze.json,,,,
11,binary_sensor.doorbell_snooze_homebase.json,,,,
12,binary_sensor.doorbell_snooze_motion.json,,,,
13,binary_sensor.dw_front_door_battery_low.json,,,unsure what dw is ,maybe
14,binary_sensor.dw_front_door_contact.json,,,unsure what dw is ,maybe
15,binary_sensor.dw_front_door_tamper.json,,,unsure what dw is ,maybe
16,binary_sensor.dw_lounge_sliding_door_battery_low.json,,,unsure what dw is ,maybe
17,binary_sensor.dw_lounge_sliding_door_contact.json,,,unsure what dw is ,maybe
18,binary_sensor.dw_lounge_sliding_door_tamper.json,,,,
19,binary_sensor.front_all_occupancy.json,,,,
20,binary_sensor.front_car_occupancy.json,,,,
21,binary_sensor.front_motion.json,,,,
22,binary_sensor.front_person_occupancy.json,,,,
23,binary_sensor.frontdoor_light_entrance_switch.json,,,,
24,binary_sensor.frontpatch_all_occupancy.json,,,,
25,binary_sensor.frontpatch_motion.json,,,,
26,binary_sensor.frontpatch_person_occupancy.json,,,,
27,binary_sensor.garden_all_occupancy.json,,,,
28,binary_sensor.garden_motion.json,,,,
29,binary_sensor.garden_person_occupancy.json,,,,
30,binary_sensor.gosund100_button.json,,,,
31,binary_sensor.gosund100_server_status.json,,,,
32,binary_sensor.gosund703_button.json,,,,
33,binary_sensor.gosund703_server_status.json,,,,
34,binary_sensor.gosundx_button.json,,,,
35,binary_sensor.gosundx_server_status.json,,,,
36,binary_sensor.hot_water_link.json,,,,
37,binary_sensor.hot_water_overlay.json,,,,
38,binary_sensor.hot_water_power.json,,,,
39,binary_sensor.iains_roku_headphones_connected.json,,,,
40,binary_sensor.iains_roku_supports_airplay.json,,,,
41,binary_sensor.iains_roku_supports_ethernet.json,,,,
42,binary_sensor.iains_roku_supports_find_remote.json,,,,
43,binary_sensor.iains_room_early_start.json,,,,
44,binary_sensor.iains_room_link.json,,,,
45,binary_sensor.iains_room_open_window.json,,,,
46,binary_sensor.iains_room_overlay.json,,,,
47,binary_sensor.iains_room_power.json,,,,
