Code_BuildingVariant,Roof,Wall,Floor,Window,Door
GB.ENG.AB.03.Gen.ReEx.001.001,Flat roof (1967-1975),Solid wall,Floor 3 (Flat),Wood,Wood
GB.ENG.AB.04.Gen.ReEx.001.001,Flat roof (1983-1990),Cavity wall with insulation,Floor 3 (Flat),Wood,PVC
GB.ENG.AB.07.Gen.ReEx.001.001,Flat roof (post 2004),Cavity wall (post 2010),Floor 5 (post 2002),Wood,PVC
GB.ENG.MFH.01.Gen.ReEx.001.001,Pitched roof with Gables,Solid wall,Floor 3 (Flat),Wood,Wood
GB.ENG.MFH.02.Gen.ReEx.001.001,Pitched roof with Gables,Solid wall,Floor 3 (Flat),Wood,Wood
GB.ENG.MFH.03.Gen.ReEx.001.001,Pitched roof with Gables,Cavity wall with insulation,Floor 3 (Flat),Wood,Wood
GB.ENG.MFH.04.Gen.ReEx.001.001,Pitched roof (1967-1975),Cavity wall with insulation,Floor 3 (Flat),Wood,PVC
GB.ENG.MFH.05.Gen.ReEx.001.001,Pitched roof (1983-1990),Cavity wall with insulation,Floor 3 (Flat),Wood,PVC
GB.ENG.MFH.06.Gen.ReEx.001.001,Pitched roof (post 2004),Cavity wall with insulation,Floor 4 (post 1990),Wood,PVC
GB.ENG.MFH.07.Gen.ReEx.001.001,Flat roof (post 2004),Cavity wall with insulation,Floor 5 (post 2002),Wood,PVC
GB.ENG.MFH.08.Gen.ReEx.001.001,Pitched roof (post 2010),Cavity wall (post 2010),Floor 6 (post 2010),Wood,PVC
GB.ENG.SFH.01.Gen.ReEx.001.001,Pitched roof with Gables,Solid wall,Floor 1 (SFH),Wood,Wood
GB.ENG.SFH.02.Gen.ReEx.001.001,Pitched roof with Gables,Solid wall,Floor 1 (SFH),Wood,Wood
GB.ENG.SFH.03.Gen.ReEx.001.001,Pitched roof with Gables,Cavity wall with insulation,Floor 1 (SFH),Wood,Wood
GB.ENG.SFH.04.Gen.ReEx.001.001,Pitched roof (1967-1975),Cavity wall with insulation,Floor 1 (SFH),Wood,PVC
GB.ENG.SFH.05.Gen.ReEx.001.001,Pitched roof (1983-1990),Cavity wall with insulation,Floor 1 (SFH),Wood,PVC
GB.ENG.SFH.06.Gen.ReEx.001.001,Pitched roof (post 2004),Cavity wall with insulation,Floor 4 (post 1990),Wood,PVC
GB.ENG.SFH.07.Gen.ReEx.001.001,Pitched roof (post 2004),Cavity wall (post 2010),Floor 5 (post 2002),Wood,PVC
GB.ENG.SFH.08.Gen.ReEx.001.001,Pitched roof (post 2010),Cavity wall (post 2010),Floor 6 (post 2010),Wood,PVC
GB.ENG.TH.01.Gen.ReEx.001.001,Pitched roof with Gables,Solid wall,Floor 2 (TH),Wood,Wood
GB.ENG.TH.02.Gen.ReEx.001.001,Pitched roof with Gables,Solid wall,Floor 2 (TH),Wood,Wood
GB.ENG.TH.03.Gen.ReEx.001.001,Pitched roof with Gables,Cavity wall with insulation,Floor 2 (TH),Wood,Wood
GB.ENG.TH.04.Gen.ReEx.001.001,Pitched roof (1967-1975),Cavity wall with insulation,Floor 2 (TH),Wood,PVC
GB.ENG.TH.05.Gen.ReEx.001.001,Pitched roof (1983-1990),Cavity wall with insulation,Floor 2 (TH),Wood,PVC
GB.ENG.TH.06.Gen.ReEx.001.001,Pitched roof (post 2004),Cavity wall with insulation,Floor 4 (post 1990),Wood,PVC
GB.ENG.TH.07.Gen.ReEx.001.001,Pitched roof (post 2004),Cavity wall (post 2010),Floor 5 (post 2002),Wood,PVC
GB.ENG.TH.08.Gen.ReEx.001.001,Pitched roof (post 2010),Cavity wall (post 2010),Floor 6 (post 2010),Wood,PVC
