,Code,Energy / GJ,BUILDING STOCK SEGMENT NUMBER OF BUILDINGS,CUBES / GJ,CUBES / TWh,TABULA / TWh,cumsum_Tabula,cumsum_CUBES
0,GB-AB-03,1142.71,220000.00000000003,251396200.00000003,69.83786436000001,286.8323920000001,286.8323920000001,69.83786436000001
1,GB-AB-04,1241.01,92000.0,114172920.0,31.717237176,123.41986759999999,410.25225960000006,101.55510153600001
2,GB-AB-07,1051.57,148000.0,155632360.0,43.234669608,46.875078,457.12733760000003,144.789771144
3,GB-MFH-01,175.91,508421.0526315789,89436347.36842103,24.845417298947364,91.50943421052631,548.6367718105264,169.63518844294737
4,GB-MFH-02,190.59,191578.94736842104,36513031.578947365,10.143320172631578,40.647132842105265,589.2839046526317,179.77850861557894
5,GB-MFH-03,144.2,200000.0,28839999.999999996,8.011752,39.13932,628.4232246526317,187.79026061557894
6,GB-MFH-04,176.56,208000.00000000003,36724480.00000001,10.202060544000002,43.6833904,672.1066150526317,197.99232115957895
7,GB-MFH-05,177.81,79000.00000000001,14046990.000000002,3.9022538220000005,15.937230900000003,688.0438459526317,201.89457498157896
8,GB-MFH-06,190.97,183000.0,34947510.0,9.708418278,38.9207511,726.9645970526317,211.60299325957897
9,GB-MFH-07,263.58,180000.0,47444400.0,13.18005432,16.067016,743.0316130526317,224.78304757957898
10,GB-MFH-08,262.32,200000.00000000006,52464000.000000015,14.574499200000004,16.818480000000005,759.8500930526317,239.35754677957897
11,GB-SFH-01,102.75,1557947.368421053,160079092.1052632,44.469971786842116,70.42451807368424,830.2746111263159,283.8275185664211
12,GB-SFH-02,89.79,587052.6315789475,52711455.789473705,14.643242418315795,20.97274878947369,851.2473599157896,298.4707609847369
13,GB-SFH-03,66.17,1248000.0,82580160.0,22.940768448,38.7476544,889.9950143157896,321.41152943273687
14,GB-SFH-04,59.79,1044999.9999999999,62480549.99999999,17.35709679,28.483355999999997,918.4783703157896,338.7686262227369
15,GB-SFH-05,49.16,529500.0,26030220.0,7.231195116,13.0861689,931.5645392157895,345.99982133873687
16,GB-SFH-06,48.79,976499.9999999999,47643434.99999999,13.235346242999999,24.783569999999997,956.3481092157895,359.23516758173685
17,GB-SFH-07,49.78,756000.0,37633680.0,10.454636304,10.9940544,967.3421636157894,369.68980388573686
18,GB-SFH-08,48.92,1010000.0,49409200.0,13.72587576,13.980521,981.3226846157894,383.4156796457369
19,GB-TH-01,58.19,1557947.368421053,90656957.36842108,25.184502756947378,39.014896973684216,1020.3375815894736,408.60018240268425
20,GB-TH-02,55.29,587052.6315789475,32458140.000000007,9.016871292000001,13.457888052631581,1033.7954696421052,417.6170536946843
21,GB-TH-03,38.63,1248000.0,48210240.0,13.392804672,26.2040064,1059.9994760421052,431.0098583666843
22,GB-TH-04,37.99,1044999.9999999999,39699550.0,11.02853499,19.443792499999997,1079.4432685421052,442.0383933566843
23,GB-TH-05,28.91,529500.0,15307845.0,4.252519341,8.0677797,1087.5110482421053,446.2909126976843
24,GB-TH-06,28.07,976499.9999999999,27410354.999999996,7.614596618999999,15.514631999999999,1103.0256802421052,453.9055093166843
25,GB-TH-07,29.29,756000.0,22143240.0,6.151392072,7.364347200000001,1110.3900274421053,460.0569013886843
26,GB-TH-08,28.81,1010000.0,29098100.0,8.08345218,9.314018,1119.7040454421053,468.1403535686843
