,Code,Gas [Wh],Electricity [Wh],Floor Area [m2],estimated number of buildings (thousands)**,CUBES / Wh,CUBES / TWh,TABULA / TWh,cumsum_Tabula,cumsum_CUBES
0,GB-AB-03,197094909.5267497,94917527.09951232,3481.5,2000.0,584024873252.524,0.5840248732525241,2.6075672,2.6075672,0.5840248732525241
1,GB-AB-04,119978539.9486528,127638787.14179179,4681.6900000000005,4000.0,990469308361.7783,0.9904693083617783,5.366081199999999,7.973648399999999,1.5744941816143023
2,GB-AB-07,51096368.52418299,113081494.7138295,4147.74,1000.0,164177863238.01248,0.16417786323801248,0.3167235,8.290371899999998,1.7386720448523147
3,GB-MFH-01,34669655.202256046,12195736.721638592,447.33000000000004,373000.0,17480791187612.7,17.4807911876127,67.1353375,75.4257094,19.219463232465014
4,GB-MFH-02,37247604.50724972,13755475.835632855,504.54,108000.0,5508332677031.318,5.508332677031318,22.9142628,98.3399722,24.727795909496333
5,GB-MFH-03,22537981.54754964,12813252.731616216,469.9800000000001,168000.0,5939007358899.864,5.939007358899865,32.8770288,131.217001,30.666803268396198
6,GB-MFH-04,22712835.452428613,15949088.999469005,585.0,222000.0,8582947228321.271,8.582947228321272,46.6236186,177.84061960000003,39.24975049671747
7,GB-MFH-05,22634792.839999862,18002840.921754584,660.3299999999999,106000.0,4307589178745.971,4.307589178745971,21.3841326,199.2247522,43.55733967546344
8,GB-MFH-06,19768057.323656186,19656638.76563351,720.99,73000.0,2878002814518.148,2.878002814518148,15.525764099999998,214.75051630000002,46.435342489981586
9,GB-MFH-07,18725494.42273604,28038498.461736225,1028.4300000000003,24000.0,1122335829227.3345,1.1223358292273344,2.1422688,216.89278510000003,47.55767831920892
10,GB-MFH-08,17648993.200673915,28039316.36341539,1028.46,24000.0,1096519429538.1433,1.0965194295381433,2.0182176,218.91100270000004,48.65419774874706
11,GB-SFH-01,21439318.439234722,6186065.459839977,226.9,615000.0,16989611097930.94,16.98961109793094,27.800091,246.71109370000005,65.643808846678
12,GB-SFH-02,19330405.713687465,5320179.875942992,195.14000000000001,567000.0,13976882029320.469,13.97688202932047,20.2563585,266.9674522,79.62069087599846
13,GB-SFH-03,11365835.162307061,5306548.175888372,194.64,746000.0,12437597970293.793,12.437597970293792,23.1616588,290.129111,92.05828884629226
14,GB-SFH-04,10691714.812404517,4737833.651929841,173.78,1206000.0,18608035447987.234,18.608035447987234,32.8717008,323.0008118,110.66632429427949
15,GB-SFH-05,7355647.21349901,4490827.2478567865,164.72,767000.0,9086245911859.896,9.086245911859896,18.9557914,341.9566032,119.75257020613938
16,GB-SFH-06,5930901.510999059,4610786.20784195,169.11999999999998,785000.0,8275224859290.192,8.275224859290192,19.9233,361.8799032,128.0277950654296
17,GB-SFH-07,4434435.572063917,4739469.455828078,173.84,107000.0,981607837984.4435,0.9816078379844435,1.5560368,363.43594,129.00940290341404
18,GB-SFH-08,4224763.821667045,4739469.455828078,173.84,107000.0,959172960691.9781,0.9591729606919781,1.4811047,364.9170447,129.96857586410601
19,GB-TH-01,7826702.721529169,3072585.17992055,112.69999999999999,3259000.0,35520779270824.63,35.52077927082463,81.6135075,446.5305522,165.48935513493063
20,GB-TH-02,10427932.94170726,2915002.7279035538,106.92000000000002,2811000.0,37506992167276.0,37.506992167276,64.4407695,510.9713217,202.99634730220663
21,GB-TH-03,6754139.288300398,2887739.327941876,105.92,3026000.0,29176324692749.125,29.176324692749127,63.5363168,574.5076385,232.17267199495575
22,GB-TH-04,5451413.864287019,2832121.991881999,103.88,2291000.0,18977580646483.22,18.97758064648322,42.6274915,617.13513,251.15025264143895
23,GB-TH-05,4398374.010211729,2415537.239935917,88.6,695000.0,4735668318852.614,4.735668318852614,10.589437,627.724567,255.88592096029157
24,GB-TH-06,3128765.1562137147,2416082.507952618,88.62,716000.0,3970110927543.0947,3.970110927543095,11.375808,639.100375,259.85603188783466
25,GB-TH-07,2673499.2520636218,2577481.8359775827,94.54,146500.0,769268729398.0365,0.7692687293980365,1.4270858,640.5274608,260.6253006172327
26,GB-TH-08,2524188.124446652,2577481.8359775827,94.54,146500.0,747394649202.1504,0.7473946492021504,1.3509937,641.8784545,261.37269526643485
