,episode_num,cost,gas_cost,electricity_cost,cumulative_reward,mean_reward,cumulative_emissions,mean_emissions,cumulative_comfort_penalty,mean_comfort_penalty,cumulative_emissions_penalty,mean_emissions_penalty,cumulative_air_quality_penalty,mean_air_quality_penalty,comfort_violation (%),mean_comfort_violation,std_comfort_violation,cumulative_comfort_violation,mean_air_quality_violation,std_air_quality_violation,cumulative_air_quality_violation,length(timesteps),time_elapsed(seconds),year,case,rep,zones_controlled,onoffseed,tempseed,filename,Unnamed: 0
25,0,124284.81370460975,124284.81370460975,0.0,-380065.27579399385,-7.231074501407797,4343.339271707623,0.0826358308924585,-375.1659897089261,-0.0071378612958319,-130300.17815122868,-2.479074926773757,-278012.7037125437,-5.289435002141243,4.779299847792998,0.0071378612958319,0.0674458022398096,27801270.371254373,528.9435002141244,601.5948541720904,375.1659897089261,52560,31536000,2023,0,0,4,5,15,Eplus-env-06-27_thermostat_rbc_eco_year_2023_case_0_rep_0_zone_4_onoffseed_5_tempseed_15_paper2_final_runs_v1-res3_progress.csv,
45,0,86464.38924055232,86464.38924055232,0.0,-370322.0397949705,-7.045700909341143,2961.180426702392,0.0563390492142768,-1952.170947932172,-0.0371417608054066,-88835.41280107175,-1.6901714764283058,-297633.35200934246,-5.662735007788099,12.3382800608828,0.0371417608054066,0.2189081993906933,29763335.20093425,566.2735007788099,629.8419070257769,1952.170947932172,52560,31536000,2023,0,0,9,5,42,Eplus-env-06-27_thermostat_rbc_eco_year_2023_case_0_rep_0_zone_9_onoffseed_5_tempseed_42_paper2_final_runs_v1-res2_progress.csv,
62,0,111335.67807974,111335.67807974,0.0,-425884.3686629043,-8.102822843662564,3861.013788990075,0.0734591664571932,-56559.41514206466,-1.0760923733269532,-115830.41366970223,-2.203774993715796,-278241.2352838043,-5.29378301529308,20.2130898021309,1.0760923733269532,3.0259644830531007,27824123.52838044,529.3783015293081,610.2758463457216,56559.41514206466,52560,31536000,2023,0,0,0,10,30,Eplus-env-06-27_thermostat_rbc_eco_year_2023_case_0_rep_0_zone_0_onoffseed_10_tempseed_30_paper2_final_runs_v1-res1_progress.csv,
128,0,155897.7969381952,155897.7969381952,0.0,-482095.5359324276,-9.17228949643127,3250.9983434682595,0.061853088726565,-52725.78343266532,-1.003154174898503,-97529.95030404776,-1.855592661796952,-301829.7648246248,-5.742575434258463,25.439497716894977,1.003154174898503,2.6146746224481654,30182976.482462484,574.2575434258464,640.0895717649156,52725.78343266532,52560,31536000,2022,0,0,4,15,30,Eplus-env-06-27_thermostat_rbc_eco_year_2022_case_0_rep_0_zone_4_onoffseed_15_tempseed_30_paper2_final_runs_v1-res3_progress.csv,
133,0,107038.25913863888,107038.25913863888,0.0,-441916.7083422224,-8.407852137409103,3713.464778265734,0.0706519173947057,-70398.31999918031,-1.3393896499083011,-111403.943347972,-2.119557521841172,-283950.38854172174,-5.402404652620277,23.63584474885845,1.3393896499083011,3.4800884574378084,28395038.854172166,540.2404652620276,623.8176659679839,70398.31999918031,52560,31536000,2023,0,0,0,15,30,Eplus-env-06-27_thermostat_rbc_eco_year_2023_case_0_rep_0_zone_0_onoffseed_15_tempseed_30_paper2_final_runs_v1-res2_progress.csv,
135,0,142432.41786699308,142432.41786699308,0.0,-420157.4084609814,-7.993862413641199,2951.908865402867,0.0561626496461732,-2279.399576536085,-0.0433675718519042,-88557.265962086,-1.684879489385198,-301354.04782745824,-5.733524502044487,11.23097412480974,0.0433675718519042,0.2600165670250774,30135404.78274582,573.3524502044486,637.4217647594879,2279.399576536085,52560,31536000,2022,0,0,9,15,42,Eplus-env-06-27_thermostat_rbc_eco_year_2022_case_0_rep_0_zone_9_onoffseed_15_tempseed_42_paper2_final_runs_v1-res3_progress.csv,
140,0,86464.38924055232,86464.38924055232,0.0,-370322.0397949705,-7.045700909341143,2961.180426702392,0.0563390492142768,-1952.170947932172,-0.0371417608054066,-88835.41280107175,-1.6901714764283058,-297633.35200934246,-5.662735007788099,12.3382800608828,0.0371417608054066,0.2189081993906933,29763335.20093425,566.2735007788099,629.8419070257769,1952.170947932172,52560,31536000,2023,0,0,9,15,15,Eplus-env-06-27_thermostat_rbc_eco_year_2023_case_0_rep_0_zone_9_onoffseed_15_tempseed_15_paper2_final_runs_v1-res3_progress.csv,
151,0,107680.61488063632,107680.61488063632,0.0,-378160.6462348833,-7.194837257132483,3722.399051113976,0.0708218997548321,-483.5819163216272,-0.0092005691842014,-111671.9715334193,-2.124656992644964,-289583.553284713,-5.509580541946595,4.899162861491629,0.0092005691842014,0.0798763530481663,28958355.328471303,550.9580541946594,621.986683352765,483.5819163216272,52560,31536000,2023,0,0,4,5,30,Eplus-env-06-27_thermostat_rbc_eco_year_2023_case_0_rep_0_zone_4_onoffseed_5_tempseed_30_paper2_final_runs_v1-res3_progress.csv,
169,0,162630.6182244396,162630.6182244396,0.0,-493145.8280447327,-9.382530974975888,3391.202092922364,0.0645205877648851,-72019.95982764609,-1.3702427668882438,-101736.06278767092,-1.935617632946555,-288077.75944767264,-5.480931496340804,27.045281582952818,1.3702427668882438,3.5625114868362404,28807775.94476726,548.0931496340803,629.0713551678144,72019.95982764609,52560,31536000,2022,0,0,0,10,42,Eplus-env-06-27_thermostat_rbc_eco_year_2022_case_0_rep_0_zone_0_onoffseed_10_tempseed_42_paper2_final_runs_v1-res1_progress.csv,
171,0,163616.04497414993,163616.04497414993,0.0,-433667.2109609411,-8.250898229850478,3414.2692287250275,0.0649594602116633,-825.5387357671616,-0.01570659695143,-102428.07686175084,-1.9487838063499017,-298987.3858318218,-5.68849668629798,10.736301369863014,0.01570659695143,0.1152699983073836,29898738.583182182,568.8496686297981,639.0011924351888,825.5387357671616,52560,31536000,2022,0,0,4,5,42,Eplus-env-06-27_thermostat_rbc_eco_year_2022_case_0_rep_0_zone_4_onoffseed_5_tempseed_42_paper2_final_runs_v1-res1_progress.csv,
