,year,case,rep,zones_controlled,onoffseed,tempseed,cost,cumulative_emissions,comfort_violation (%),mean_comfort_violation,std_comfort_violation,building_cost,sensing_cost,control_names,retrofit_name,installation_cost,name
0,2023,5,0,9,15,15,1778.0796200830491,1.1325225844710416,13.131659056316591,0.0318824727693292,0.2059401250908944,28000.0,520,Full Control,System - ASHP,28520.0,System - ASHP Full Control
1,2023,0,0,9,10,42,864.6438924055233,2.9611804267023922,12.3382800608828,0.0371417608054066,0.2189081993906933,0.0,520,Full Control,Baseline,520.0,Baseline Full Control
2,2023,0,0,9,15,30,864.6438924055233,2.9611804267023922,12.3382800608828,0.0371417608054066,0.2189081993906933,0.0,520,Full Control,Baseline,520.0,Baseline Full Control
3,2023,2,0,0,15,15,1044.3722752648127,3.683961576158744,13.16400304414003,0.4091138041892987,1.7146848815018914,16000.0,0,Manual Control,Fabric - Shallow,16000.0,Fabric - Shallow Manual Control
4,2023,3,0,9,5,30,325.10305664309874,0.7053262986897975,26.162480974124808,0.7683647787210143,2.1663479660135327,51000.0,520,Full Control,Fabric - Deep,51520.0,Fabric - Deep Full Control
5,2023,5,0,4,15,30,1863.3431139620789,1.222737084760662,25.89802130898021,0.9595357168643026,2.505039291097749,28000.0,240,Partial Control,System - ASHP,28240.0,System - ASHP Partial Control
6,2023,0,0,0,15,42,956.910324706902,3.2873746793955387,33.25532724505327,1.7672870921585058,4.1393070368516405,0.0,0,Manual Control,Baseline,0.0,Baseline Manual Control
7,2022,0,0,0,10,30,1820.9884245887586,3.8251037349328016,19.960045662100452,1.0793134193105072,3.056140158169177,0.0,0,Manual Control,Baseline,0.0,Baseline Manual Control
8,2022,5,0,9,10,30,2502.477687616278,1.2611248380994653,11.459284627092844,0.0361612661110965,0.2379094952872463,28000.0,520,Full Control,System - ASHP,28520.0,System - ASHP Full Control
9,2022,3,0,0,5,30,729.724640024315,1.113641572331286,0.7857686453576864,0.0061160454908591,0.1123701957047804,51000.0,0,Manual Control,Fabric - Deep,51000.0,Fabric - Deep Manual Control
10,2022,10,0,9,15,15,1645.1212636691998,0.815310919877461,12.201293759512938,0.0404786324133178,0.2422128096481471,48000.0,520,Full Control,System - ASHP+PV+Batt,48520.0,System - ASHP+PV+Batt Full Control
11,2022,2,0,0,5,42,1469.4094460101412,3.0695192123610457,12.83675799086758,0.0056839105182223,0.0446141480851085,16000.0,0,Manual Control,Fabric - Shallow,16000.0,Fabric - Shallow Manual Control
12,2023,5,0,9,10,15,1778.0796200830491,1.1325225844710416,13.131659056316591,0.0318824727693292,0.2059401250908944,28000.0,520,Full Control,System - ASHP,28520.0,System - ASHP Full Control
