,case,zones_controlled,name,retrofit_name,installation_cost,mean_emissions,std_emissions,mean_cost,std_cost,mean_comfort,std_comfort,bill_saving,payback,relative_cost,relative_cost_std,relative_emissions,relative_emissions_std
0,0,0,Baseline Manual Control,Baseline,0,3.8319108292296864,0.610764784391888,1103.6667158468913,167.73943700515372,17.349008540503974,15.51193365466642,-0.0,,0.0,15.198377788936035,-0.0,15.938909113776731
1,0,1,Baseline One Zone Controlled,Baseline,60,3.6138795897764115,0.540269474769564,1043.477665507696,148.75901350749962,21.299229452054796,15.867099548188577,60.18905033919532,0.9968590576171259,-5.453553094876985,13.47861735536261,-5.689882911422151,14.099218349456535
2,0,4,Baseline Partial Control,Baseline,240,3.1633040913432726,0.39602707756954386,920.0901714586234,111.03365268198858,34.30737886859462,12.404052849066982,183.57654438826785,1.3073565623525165,-16.633331580304258,10.060433198512076,-17.448389789926843,10.334976339967588
3,0,9,Baseline Full Control,Baseline,520,2.5600681967201933,0.3880926861820563,756.0709196596495,110.61731294485895,43.123414510400806,6.672206288402494,347.59579618724183,1.4959904742918353,-31.49463431272515,10.022709877589946,-33.190820172743074,10.127915378972245
4,1,0,Fabric - Low cost Manual Control,Fabric - Low cost,3800,3.6667946915536547,0.5836020866364032,1055.3502553294247,160.00424433559945,17.346683155758498,15.575801661853648,48.31646051746657,78.64814515182226,-4.377812597201616,14.497514696981803,-4.3089765141853364,15.230053950752357
5,1,1,Fabric - Low cost One Zone Controlled,Fabric - Low cost,3860,3.4627223312462823,0.5177608678364136,999.071087099442,142.32088753428664,21.64929234314223,15.863156921275744,104.59562874744927,36.90402788552607,-9.477102756259939,12.895277667685907,-9.634579572344082,13.511819322280447
6,1,4,Fabric - Low cost Partial Control,Fabric - Low cost,4040,3.0265802406530113,0.37692079369110804,879.6283878710007,105.46895786978347,35.11907026889904,12.271061656653549,224.03832797589064,18.03262877606708,-20.299454967614597,9.556232543341,-21.0164229927701,9.836366515002618
7,1,9,Fabric - Low cost Full Control,Fabric - Low cost,4320,2.443255619443694,0.36740924577069134,721.0217976204552,104.57776136575322,44.328228056823946,6.8192457230544345,382.64491822643606,11.289840251958012,-34.67033233242121,9.475483845275352,-36.23923602797272,9.58814706668292
8,2,0,Fabric - Shallow Manual Control,Fabric - Shallow,16000,3.0295769816559868,0.4878167775208007,870.9830753608787,133.76570073501293,15.842571670667985,14.891628197714285,232.68364048601256,68.76289182419688,-21.08278134558623,12.120117315703292,-20.938218119626484,12.730379157044858
9,2,1,Fabric - Shallow One Zone Controlled,Fabric - Shallow,16060,2.8367530770883156,0.44000080376778933,816.9651224516128,120.49306792488713,21.5355628552791,15.706083669846974,286.70159339527845,56.01643091623112,-25.977189424914375,10.917523034336284,-25.97027427022417,11.482542871600195
10,2,4,Fabric - Shallow Partial Control,Fabric - Shallow,16240,2.422139799841251,0.29504832350934485,702.3621231451176,80.80783857335962,35.59865329892132,11.091900317040896,401.3045927017737,40.46801430969076,-36.36103063902179,7.321760945862381,-36.79028798464592,7.699770079687821
11,2,9,Fabric - Shallow Full Control,Fabric - Shallow,16520,1.8808079188074753,0.22827555069124228,554.2594911550411,62.08992427387513,45.53168494719829,6.109367928521821,549.4072246918502,30.068770954487697,-49.78017519267727,5.6257856998279445,-50.917231568627955,5.957225020738063
12,3,0,Fabric - Deep Manual Control,Fabric - Deep,51000,0.8851107773521071,,381.4364364788276,,0.0951293759512937,,722.2302793680637,70.61459683554658,-65.43916464979785,,-76.90158208796217,
