,year,case,rep,zones_controlled,onoffseed,tempseed,comforttemp,setbacktemp,cost,cumulative_emissions,comfort_violation (%),mean_comfort_violation,std_comfort_violation,building_cost,sensing_cost,control_names,retrofit_name,installation_cost,name
0,2022,0,0,4,5,10,20,15,1695.6468025132688,3.5326614602592983,25.658295281582955,0.016134082103534,0.054660703292246,0.0,240,Partial Control,Baseline,240.0,Baseline Partial Control
1,2023,0,0,0,5,30,18,15,1173.5771469885947,4.066675746104111,0.0,0.0,0.0,0.0,0,Manual Control,Baseline,0.0,Baseline Manual Control
2,2023,5,0,1,15,30,20,17,1913.4044999955686,1.2731346036351616,27.07572298325723,1.3547268703252189,3.1432763990037245,28000.0,60,One Zone Controlled,System - ASHP,28060.0,System - ASHP One Zone Controlled
3,2022,4,0,9,5,15,18,13,380.49813117703457,0.37916478827443423,23.224885844748854,0.6157776833275684,1.9317541081175111,71000.0,520,Full Control,Fabric - Passivhaus,71520.0,Fabric - Passivhaus Full Control
4,2023,1,0,4,5,10,18,17,1018.7375182015531,3.508958100257601,13.807077625570775,0.000631073797585,0.0031750518974394,3800.0,240,Partial Control,Fabric - Low cost,4040.0,Fabric - Low cost Partial Control
5,2023,0,0,4,10,10,20,15,909.0908479995288,3.1295768028826045,39.07914764079148,0.9106960228330904,2.5536451954526527,0.0,240,Partial Control,Baseline,240.0,Baseline Partial Control
6,2023,14,0,9,10,10,21,13,72.10254195308576,0.04564911650846334,37.88051750380518,2.129468269033891,4.545103913915333,,520,Full Control,,,
7,2023,10,0,4,15,10,19,17,1362.3920447416342,0.8983106270632077,28.89649923896499,0.4894648593559776,1.3206080626293044,48000.0,240,Partial Control,System - ASHP+PV+Batt,48240.0,System - ASHP+PV+Batt Partial Control
8,2022,1,0,1,15,42,18,17,1457.1541364502677,2.9997713644781854,19.286529680365295,0.3688342081841256,0.9641651393470672,3800.0,60,One Zone Controlled,Fabric - Low cost,3860.0,Fabric - Low cost One Zone Controlled
9,2022,2,0,0,15,15,19,15,1534.3052386397073,3.2394785324334823,13.333333333333334,0.4866803489575982,1.8738463239783512,16000.0,0,Manual Control,Fabric - Shallow,16000.0,Fabric - Shallow Manual Control
10,2022,4,0,1,10,42,21,15,486.4650590491539,0.6133740852063596,45.04185692541857,1.9565969593422128,3.470741751936076,71000.0,60,One Zone Controlled,Fabric - Passivhaus,71060.0,Fabric - Passivhaus One Zone Controlled
11,2023,14,0,4,15,42,20,15,92.47701401344985,0.06208041406706976,32.60083713850837,1.062390286314012,2.611332530790456,,240,Partial Control,,,
12,2022,14,0,9,5,42,18,13,107.34825391204413,0.05331134466481115,20.04566210045662,0.4929728481413836,1.6408435848197196,,520,Full Control,,,
13,2022,5,0,9,5,15,20,15,2211.9575799302875,1.1131440856384864,44.26179604261796,0.0225977533984116,0.0643522027285759,28000.0,520,Full Control,System - ASHP,28520.0,System - ASHP Full Control
14,2022,14,0,1,5,42,19,17,269.72329755150537,0.13138896632820854,4.571917808219178,0.0396848565864937,0.2950640807270213,,60,One Zone Controlled,,,
15,2022,5,0,4,10,15,21,17,3102.510868344392,1.5708927588691615,39.290334855403344,0.8784021945957229,2.3508073532903038,28000.0,240,Partial Control,System - ASHP,28240.0,System - ASHP Partial Control
16,2022,1,0,4,5,15,19,17,1823.5705271789689,3.798782899681461,14.26179604261796,0.0004465606972734,0.0029989955448114,3800.0,240,Partial Control,Fabric - Low cost,4040.0,Fabric - Low cost Partial Control
17,2023,2,0,4,10,10,18,15,693.9227586496671,2.380804081186571,26.714231354642315,0.2621747818749104,1.0042205080336697,16000.0,240,Partial Control,Fabric - Shallow,16240.0,Fabric - Shallow Partial Control
18,2022,0,0,9,5,30,19,15,1188.0144321894252,2.390837618042644,39.60806697108067,0.0141444035774809,0.0457365904729932,0.0,520,Full Control,Baseline,520.0,Baseline Full Control
19,2022,3,0,4,10,30,18,13,528.7527561964899,0.6981472417588482,11.603881278538813,0.1491539311813095,0.9010179824506624,51000.0,240,Partial Control,Fabric - Deep,51240.0,Fabric - Deep Partial Control
20,2023,14,0,9,5,42,19,15,75.63382838768246,0.05182269983430568,26.950152207001523,0.7058724752382375,1.875035251953546,,520,Full Control,,,
21,2023,2,0,4,15,15,20,15,752.0633683278684,2.610625735719914,38.22488584474885,0.7943301048622878,2.2722994305527333,16000.0,240,Partial Control,Fabric - Shallow,16240.0,Fabric - Shallow Partial Control
22,2022,3,0,1,10,42,18,13,549.3714704812091,0.734028590786507,6.837899543378996,0.1103508642031417,0.7658970391555767,51000.0,60,One Zone Controlled,Fabric - Deep,51060.0,Fabric - Deep One Zone Controlled
23,2023,5,0,9,5,10,20,15,1531.6588195325166,0.9837856804861284,46.73325722983257,0.0217314704739663,0.060012500962863,28000.0,520,Full Control,System - ASHP,28520.0,System - ASHP Full Control
24,2023,14,0,4,10,42,18,17,122.6912730355972,0.08501466477836672,7.15372907153729,0.041740991901265,0.2277861555097441,,240,Partial Control,,,
25,2023,2,0,1,5,15,18,15,1066.4753768757491,3.741694943764212,1.6933028919330289,0.0006968775093898,0.0071554398861619,16000.0,60,One Zone Controlled,Fabric - Shallow,16060.0,Fabric - Shallow One Zone Controlled
26,2023,5,0,0,10,15,21,13,2317.535872920198,1.438841184302449,21.78082191780822,1.4678676739142893,4.0930129243903535,28000.0,0,Manual Control,System - ASHP,28000.0,System - ASHP Manual Control
27,2023,5,0,9,15,15,19,15,1416.44223742414,0.9142026565018992,39.73744292237443,0.0074928350432293,0.0259006916083154,28000.0,520,Full Control,System - ASHP,28520.0,System - ASHP Full Control
28,2022,4,0,4,15,30,18,13,438.77617960746073,0.5200914056347691,15.702054794520548,0.3655397123667971,1.614713442977612,71000.0,240,Partial Control,Fabric - Passivhaus,71240.0,Fabric - Passivhaus Partial Control
29,2022,14,0,0,15,15,20,15,250.8230868117488,0.1270060578287084,12.591324200913242,0.3560799712027986,1.6514549484658096,,0,Manual Control,,,
30,2023,0,0,0,10,42,19,15,884.6944990882089,3.024181354175912,18.92123287671233,1.116793277810852,3.0702130970808423,0.0,0,Manual Control,Baseline,0.0,Baseline Manual Control
31,2023,3,0,0,15,10,18,13,415.78268993509533,1.0226329588774907,1.8207762557077627,0.0232586568993535,0.264718469147902,51000.0,0,Manual Control,Fabric - Deep,51000.0,Fabric - Deep Manual Control
32,2023,10,0,0,10,15,19,13,1697.9397820916392,1.079563168357279,14.379756468797565,0.6278485838332434,2.25004662364017,48000.0,0,Manual Control,System - ASHP+PV+Batt,48000.0,System - ASHP+PV+Batt Manual Control
33,2023,1,0,9,10,30,18,13,536.6601521515096,1.7879662932758387,38.85464231354642,0.0242556688817326,0.0775731027605174,3800.0,520,Full Control,Fabric - Low cost,4320.0,Fabric - Low cost Full Control
34,2023,14,0,0,15,42,21,13,120.87970614751204,0.08203412803201866,43.24391171993911,1.6736336899575883,3.137082485718317,,0,Manual Control,,,
35,2022,10,0,1,5,42,19,13,1952.53501491122,0.9689754867572562,5.504185692541856,0.0043856700134192,0.0300783033679231,48000.0,60,One Zone Controlled,System - ASHP+PV+Batt,48060.0,System - ASHP+PV+Batt One Zone Controlled
36,2022,4,0,9,5,42,18,13,380.49813117703457,0.37916478827443423,23.224885844748854,0.6157776833275684,1.9317541081175111,71000.0,520,Full Control,Fabric - Passivhaus,71520.0,Fabric - Passivhaus Full Control
37,2023,1,0,4,10,42,19,17,863.843226052633,2.93136285511182,29.377853881278536,0.4737466477564711,1.2872671315596145,3800.0,240,Partial Control,Fabric - Low cost,4040.0,Fabric - Low cost Partial Control
38,2023,4,0,9,15,42,18,17,263.0639140073596,0.4798947017505616,12.56468797564688,0.0940514447153047,0.4218904779318067,71000.0,520,Full Control,Fabric - Passivhaus,71520.0,Fabric - Passivhaus Full Control
39,2023,14,0,0,15,15,18,13,169.6533354653285,0.11004495287980856,3.489345509893455,0.0505099591843856,0.4265653459281482,,0,Manual Control,,,
40,2022,14,0,1,10,42,18,17,217.61083863160084,0.10976309527225406,5.331050228310502,0.044207829136751,0.2912116764047285,,60,One Zone Controlled,,,
41,2022,4,0,9,15,10,18,13,380.49813117703457,0.37916478827443423,23.224885844748854,0.6157776833275684,1.9317541081175111,71000.0,520,Full Control,Fabric - Passivhaus,71520.0,Fabric - Passivhaus Full Control
42,2022,1,0,0,10,15,20,17,1957.8913689842739,4.107583595266888,17.178462709284627,0.7668930008930576,2.251774052715522,3800.0,0,Manual Control,Fabric - Low cost,3800.0,Fabric - Low cost Manual Control
43,2023,3,0,9,5,15,20,13,301.0900340825725,0.6256057135407422,28.71194824961949,0.7462740419767313,2.218435353949752,51000.0,520,Full Control,Fabric - Deep,51520.0,Fabric - Deep Full Control
44,2022,3,0,4,5,15,18,17,686.8434237844141,1.0434081632327947,5.939878234398782,0.012672345386416,0.0956646978204959,51000.0,240,Partial Control,Fabric - Deep,51240.0,Fabric - Deep Partial Control
45,2022,2,0,4,10,15,18,15,1233.3605311840267,2.546249542792037,25.46993911719939,0.2081922984764337,0.9099117565085504,16000.0,240,Partial Control,Fabric - Shallow,16240.0,Fabric - Shallow Partial Control
46,2022,0,0,4,15,10,19,15,1436.604434358702,2.957579168362164,33.11073059360731,0.787024819642441,2.239917406824949,0.0,240,Partial Control,Baseline,240.0,Baseline Partial Control
47,2022,0,0,9,5,10,19,17,1406.022225313542,2.8643270544358628,34.442541856925416,0.000642657374796,0.0029858977817669,0.0,520,Full Control,Baseline,520.0,Baseline Full Control
48,2023,0,0,1,10,30,18,17,1017.0041488557519,3.4905480265838498,15.11986301369863,0.2572505957450335,0.7624695795695704,0.0,60,One Zone Controlled,Baseline,60.0,Baseline One Zone Controlled
49,2022,0,0,9,10,10,19,15,1188.0144321894252,2.390837618042644,39.60806697108067,0.0141444035774809,0.0457365904729932,0.0,520,Full Control,Baseline,520.0,Baseline Full Control
50,2022,0,0,4,5,30,18,17,1646.583975192539,3.402408322800867,14.379756468797565,0.0006644404710663,0.0032685230000643,0.0,240,Partial Control,Baseline,240.0,Baseline Partial Control
51,2022,0,0,9,15,42,20,17,1481.1254950858777,3.0356532424495053,40.07420091324201,0.0059205984468734,0.0211134829259367,0.0,520,Full Control,Baseline,520.0,Baseline Full Control
52,2022,3,0,4,15,30,20,15,560.5157203281717,0.7677495514541598,25.201674277016743,0.5928070871093561,1.8671497715087628,51000.0,240,Partial Control,Fabric - Deep,51240.0,Fabric - Deep Partial Control
53,2022,4,0,4,5,15,19,15,566.7664980954422,0.8100875277849384,12.699771689497716,0.1987883076317009,0.9581670312871852,71000.0,240,Partial Control,Fabric - Passivhaus,71240.0,Fabric - Passivhaus Partial Control
54,2022,3,0,0,15,15,19,13,737.851593687583,1.1803435298720595,3.3143074581430745,0.0922209888852073,0.8879700838285225,51000.0,0,Manual Control,Fabric - Deep,51000.0,Fabric - Deep Manual Control
55,2023,1,0,9,5,30,20,15,728.8942387137456,2.4732454449272407,48.95738203957382,0.0476624365694901,0.1230612022161482,3800.0,520,Full Control,Fabric - Low cost,4320.0,Fabric - Low cost Full Control
56,2023,14,0,1,10,30,20,15,138.95953025151996,0.09099566459448133,21.35083713850837,0.5249946977035338,1.702380156407486,,60,One Zone Controlled,,,
57,2022,5,0,9,5,15,20,17,2532.433737979175,1.2823030429007283,38.30479452054794,0.0028118536303925,0.0116735050748746,28000.0,520,Full Control,System - ASHP,28520.0,System - ASHP Full Control
58,2023,1,0,0,5,42,21,13,989.3555626526392,3.4023666559909125,62.07572298325723,1.5639178255574064,1.6689276418575292,3800.0,0,Manual Control,Fabric - Low cost,3800.0,Fabric - Low cost Manual Control
59,2023,5,0,9,15,42,20,13,1409.4448078853354,0.8982113072567137,47.743531202435314,0.0420302335186582,0.1278511537893635,28000.0,520,Full Control,System - ASHP,28520.0,System - ASHP Full Control
60,2023,1,0,9,10,15,21,17,903.5862004195255,3.090935807848471,51.52016742770168,0.0374578526297002,0.0887261942349276,3800.0,520,Full Control,Fabric - Low cost,4320.0,Fabric - Low cost Full Control
61,2022,10,0,0,10,42,21,17,2151.1143591720192,1.0779964482632332,59.95624048706241,2.774343455294536,3.934576822170208,48000.0,0,Manual Control,System - ASHP+PV+Batt,48000.0,System - ASHP+PV+Batt Manual Control
62,2023,2,0,9,5,10,19,15,558.8410540297684,1.87918120858973,43.451293759512936,0.0324214131536836,0.0966617572373523,16000.0,520,Full Control,Fabric - Shallow,16520.0,Fabric - Shallow Full Control
63,2023,3,0,0,10,10,18,13,427.81285903987003,1.0620652284790753,1.3261035007610351,0.0133325147657021,0.1643105380255757,51000.0,0,Manual Control,Fabric - Deep,51000.0,Fabric - Deep Manual Control
64,2022,5,0,0,5,10,21,15,3678.4553764461148,1.8502794992610099,0.2416286149162861,0.0028355472095862,0.0839558974393206,28000.0,0,Manual Control,System - ASHP,28000.0,System - ASHP Manual Control
65,2022,5,0,1,5,15,21,15,3797.444508056785,1.9036522489408454,6.354642313546423,0.0085676664559533,0.076652958795458,28000.0,60,One Zone Controlled,System - ASHP,28060.0,System - ASHP One Zone Controlled
66,2022,4,0,0,15,10,19,15,575.3974561049062,0.8333934991743647,8.006088280060883,0.207986296511563,1.2152411676881052,71000.0,0,Manual Control,Fabric - Passivhaus,71000.0,Fabric - Passivhaus Manual Control
