,case,zone,pattern,comforttemp,air_in_mean_temp,air_out_mean_temp,air_sleep_mean_temp,air_awake_mean_temp,air_all_mean_temp,opr_in_mean_temp,opr_out_mean_temp,opr_sleep_mean_temp,opr_awake_mean_temp,opr_all_mean_temp,air_in_median_temp,air_out_median_temp,air_sleep_median_temp,air_awake_median_temp,air_all_median_temp,opr_in_median_temp,opr_out_median_temp,opr_sleep_median_temp,opr_awake_median_temp,opr_all_median_temp
0,0,0,once,18.0,18.045173495469616,,16.687719702362706,18.045173495469616,17.957469600960827,17.445046402988382,,16.538748873711917,17.445046402988382,17.386491317500493,18.0,,16.3,18.0,18.0,17.4,,16.3,17.4,17.4
1,0,0,once,19.0,19.013781230786563,,17.204238175889195,19.013781230786563,18.89686824708007,18.327845637917516,,17.110343679621067,18.327845637917516,18.249183908246202,19.0,,17.0,19.0,19.0,18.3,,17.0,18.3,18.3
2,0,0,once,20.0,19.99997975397972,,17.87328096687985,19.99997975397972,19.862575617630547,19.237333189381538,,17.803016329338192,19.237333189381538,19.14466323978606,20.0,,17.7,20.0,20.0,19.2,,17.8,19.2,19.2
3,0,0,once,21.0,20.99310876867776,,18.619266613443518,20.99310876867776,20.83973691689144,20.160932115773825,,18.556048688671904,20.160932115773825,20.057242010442657,21.0,,18.5,21.0,21.0,20.2,,18.5,20.2,20.2
4,0,0,once,22.0,21.987643397126504,,19.392211589935958,21.987643397126504,21.819954833008534,21.08766627069555,,19.329047450768336,21.08766627069555,20.974043456978222,22.0,,19.3,22.0,22.0,21.1,,19.3,21.1,21.1
5,0,0,thrice,18.0,17.992231090479873,16.576367467587318,16.59555868542627,17.27069880872911,17.227078599736746,17.230444981020295,16.30453438934716,16.373581822783734,16.75859559446549,16.73372019363235,18.0,16.2,16.0,17.9,17.6,17.2,16.0,16.0,16.9,16.9
6,0,0,thrice,19.0,18.90714378557066,17.014705272623868,16.976366958693415,17.942746186648005,17.880309275502746,17.998033841831454,16.76774329028224,16.801826158466667,17.37107066930345,17.334292282605027,19.0,16.8,16.5,18.6,18.4,18.0,16.6,16.5,17.7,17.6
7,0,0,thrice,20.0,19.825268580003165,17.579734587632178,17.48540411711775,18.680931484913256,18.6036895141884,18.790781499199312,17.33909311024766,17.340644298332656,18.050992709703127,18.00509772421509,20.0,17.4,17.2,19.4,19.1,18.9,17.3,17.2,18.4,18.3
8,0,0,thrice,21.0,20.73717584953295,18.220619658903118,18.094371769193284,19.45472427649967,19.36683309861841,19.59587477415063,17.974361444955896,17.962565483837746,18.769542214018223,18.717404157920708,21.0,18.1,17.9,20.1,19.9,19.7,17.9,17.8,19.2,19.1
9,0,0,thrice,22.0,21.638431168745225,18.89681159642755,18.75636518725731,20.241285996199863,20.14534657001629,20.40251492908044,18.639590246292205,18.62756653619089,19.504118326215345,19.44748508675322,22.0,18.8,18.5,20.8,20.6,20.6,18.6,18.5,19.9,19.8
10,0,0,twice,18.0,18.02245279094719,16.444153871487963,16.602522140699463,17.45187215173038,17.396996395261358,17.27641577203241,16.19841206555925,16.390860242398514,16.886699960702906,16.854664193026494,18.0,16.0,16.0,18.0,18.0,17.2,15.9,16.0,17.1,17.1
11,0,0,twice,19.0,18.962872559680765,16.792338152992496,16.98926229294089,18.1781891933419,18.101373673004545,18.066994532745316,16.590788307711996,16.823979918519942,17.533322057201882,17.48749208610636,19.0,16.4,16.6,19.0,19.0,18.1,16.4,16.6,17.9,17.9
12,0,0,twice,20.0,19.911403389835876,17.277637583137402,17.507419170721704,18.959254364701735,18.865452570973254,18.88354116035607,17.102521920254937,17.371749605405103,18.239673839695097,18.18359801901352,20.0,17.1,17.2,20.0,20.0,18.9,17.0,17.2,18.7,18.7
