Time,BEDROOM:CAMBRIDGE.AP ANN HTG 99.6P CONDNS DB:Des Heat Load [W],BEDROOM::Des Sens Cool Load [W],BEDROOM:CAMBRIDGE.AP ANN HTG 99.6P CONDNS DB:Des Heat Mass Flow [kg/s],BEDROOM::Des Cool Mass Flow [kg/s],LIVING:CAMBRIDGE.AP ANN HTG 99.6P CONDNS DB:Des Heat Load [W],LIVING::Des Sens Cool Load [W],LIVING:CAMBRIDGE.AP ANN HTG 99.6P CONDNS DB:Des Heat Mass Flow [kg/s],LIVING::Des Cool Mass Flow [kg/s]
00:10:00,4.322090E+03,0.000000E+00,1.466598E-01,0.000000E+00,5.593949E+03,0.000000E+00,1.923509E-01,0.000000E+00
00:20:00,4.301194E+03,0.000000E+00,1.459455E-01,0.000000E+00,5.616556E+03,0.000000E+00,1.931390E-01,0.000000E+00
00:30:00,4.279986E+03,0.000000E+00,1.452197E-01,0.000000E+00,5.639441E+03,0.000000E+00,1.939380E-01,0.000000E+00
00:40:00,4.258497E+03,0.000000E+00,1.444839E-01,0.000000E+00,5.662584E+03,0.000000E+00,1.947467E-01,0.000000E+00
00:50:00,4.246545E+03,0.000000E+00,1.440711E-01,0.000000E+00,5.675246E+03,0.000000E+00,1.951959E-01,0.000000E+00
01:00:00,4.244486E+03,0.000000E+00,1.439955E-01,0.000000E+00,5.677060E+03,0.000000E+00,1.952686E-01,0.000000E+00
01:10:00,4.242849E+03,0.000000E+00,1.439362E-01,0.000000E+00,5.678445E+03,0.000000E+00,1.953218E-01,0.000000E+00
01:20:00,4.241540E+03,0.000000E+00,1.438889E-01,0.000000E+00,5.679535E+03,0.000000E+00,1.953636E-01,0.000000E+00
01:30:00,4.240420E+03,0.000000E+00,1.438485E-01,0.000000E+00,5.680473E+03,0.000000E+00,1.953993E-01,0.000000E+00
01:40:00,4.239475E+03,0.000000E+00,1.438144E-01,0.000000E+00,5.681267E+03,0.000000E+00,1.954295E-01,0.000000E+00
01:50:00,4.238671E+03,0.000000E+00,1.437854E-01,0.000000E+00,5.681944E+03,0.000000E+00,1.954553E-01,0.000000E+00
02:00:00,4.237982E+03,0.000000E+00,1.437606E-01,0.000000E+00,5.682525E+03,0.000000E+00,1.954774E-01,0.000000E+00
02:10:00,4.237386E+03,0.000000E+00,1.437391E-01,0.000000E+00,5.683027E+03,0.000000E+00,1.954965E-01,0.000000E+00
