Time,BEDROOM:CAMBRIDGE.AP ANN HTG 99.6P CONDNS DB:Des Heat Load [W],BEDROOM::Des Sens Cool Load [W],BEDROOM:CAMBRIDGE.AP ANN HTG 99.6P CONDNS DB:Des Heat Mass Flow [kg/s],BEDROOM::Des Cool Mass Flow [kg/s],LIVING:CAMBRIDGE.AP ANN HTG 99.6P CONDNS DB:Des Heat Load [W],LIVING::Des Sens Cool Load [W],LIVING:CAMBRIDGE.AP ANN HTG 99.6P CONDNS DB:Des Heat Mass Flow [kg/s],LIVING::Des Cool Mass Flow [kg/s]
00:10:00,3.248111E+03,0.000000E+00,1.094519E-01,0.000000E+00,4.476772E+03,0.000000E+00,1.529872E-01,0.000000E+00
00:20:00,3.247334E+03,0.000000E+00,1.094245E-01,0.000000E+00,4.476877E+03,0.000000E+00,1.529911E-01,0.000000E+00
00:30:00,3.246666E+03,0.000000E+00,1.094009E-01,0.000000E+00,4.476973E+03,0.000000E+00,1.529947E-01,0.000000E+00
00:40:00,3.246087E+03,0.000000E+00,1.093804E-01,0.000000E+00,4.477061E+03,0.000000E+00,1.529979E-01,0.000000E+00
00:50:00,3.245581E+03,0.000000E+00,1.093626E-01,0.000000E+00,4.477143E+03,0.000000E+00,1.530010E-01,0.000000E+00
01:00:00,3.245135E+03,0.000000E+00,1.093468E-01,0.000000E+00,4.477220E+03,0.000000E+00,1.530038E-01,0.000000E+00
01:10:00,3.244739E+03,0.000000E+00,1.093329E-01,0.000000E+00,4.477292E+03,0.000000E+00,1.530065E-01,0.000000E+00
01:20:00,3.244383E+03,0.000000E+00,1.093203E-01,0.000000E+00,4.477360E+03,0.000000E+00,1.530090E-01,0.000000E+00
01:30:00,3.244062E+03,0.000000E+00,1.093090E-01,0.000000E+00,4.477425E+03,0.000000E+00,1.530114E-01,0.000000E+00
01:40:00,3.243770E+03,0.000000E+00,1.092987E-01,0.000000E+00,4.477487E+03,0.000000E+00,1.530137E-01,0.000000E+00
01:50:00,3.243501E+03,0.000000E+00,1.092892E-01,0.000000E+00,4.477546E+03,0.000000E+00,1.530159E-01,0.000000E+00
02:00:00,3.243253E+03,0.000000E+00,1.092805E-01,0.000000E+00,4.477602E+03,0.000000E+00,1.530180E-01,0.000000E+00
02:10:00,3.243021E+03,0.000000E+00,1.092723E-01,0.000000E+00,4.477657E+03,0.000000E+00,1.530200E-01,0.000000E+00
02:20:00,3.242804E+03,0.000000E+00,1.092647E-01,0.000000E+00,4.477710E+03,0.000000E+00,1.530219E-01,0.000000E+00
02:30:00,3.242600E+03,0.000000E+00,1.092575E-01,0.000000E+00,4.477760E+03,0.000000E+00,1.530238E-01,0.000000E+00
02:40:00,3.242406E+03,0.000000E+00,1.092507E-01,0.000000E+00,4.477810E+03,0.000000E+00,1.530256E-01,0.000000E+00
02:50:00,3.242221E+03,0.000000E+00,1.092442E-01,0.000000E+00,4.477857E+03,0.000000E+00,1.530274E-01,0.000000E+00
03:00:00,3.242045E+03,0.000000E+00,1.092380E-01,0.000000E+00,4.477903E+03,0.000000E+00,1.530291E-01,0.000000E+00
03:10:00,3.241876E+03,0.000000E+00,1.092321E-01,0.000000E+00,4.477948E+03,0.000000E+00,1.530307E-01,0.000000E+00
03:20:00,3.241714E+03,0.000000E+00,1.092263E-01,0.000000E+00,4.477991E+03,0.000000E+00,1.530323E-01,0.000000E+00
03:30:00,3.241557E+03,0.000000E+00,1.092208E-01,0.000000E+00,4.478034E+03,0.000000E+00,1.530339E-01,0.000000E+00
03:40:00,3.241406E+03,0.000000E+00,1.092155E-01,0.000000E+00,4.478075E+03,0.000000E+00,1.530354E-01,0.000000E+00
